"species","region","minimum.age","maximum.age","family","Site"
"Afrochoerodon kisumuensis","Africa",19,19.16,"Gomphotheriidae",276
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Gomphotheriidae",310
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Gomphotheriidae",311
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Gomphotheriidae",716
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Gomphotheriidae",717
"Afrochoerodon kisumuensis","Africa",15.5,15.5,"Gomphotheriidae",718
"Afrochoerodon kisumuensis","Africa",14.7,15.2,"Gomphotheriidae",719
"Afrochoerodon kisumuensis","Africa",11.63,13.82,"Gomphotheriidae",720
"Afrochoerodon kisumuensis","Africa",17,18,"Gomphotheriidae",721
"Afromastodon coppensi","Africa",14.2,16.4,"Gomphotheriidae",333
"Anancus kenyensis","Africa",6.54,7.44,"Gomphotheriidae",10
"Anancus kenyensis","Africa",5.3,7.1,"Gomphotheriidae",585
"Anancus kenyensis","Africa",2.6,7.1,"Gomphotheriidae",792
"Anancus kenyensis","Africa",6,7,"Gomphotheriidae",793
"Anancus kenyensis","Africa",5.3,6.54,"Gomphotheriidae",11
"Anancus kenyensis","Africa",5.6,6.3,"Gomphotheriidae",681
"Anancus kenyensis","Africa",5.6,6.2,"Gomphotheriidae",682
"Anancus kenyensis","Africa",5.6,6.2,"Gomphotheriidae",683
"Anancus kenyensis","Africa",6.04,6.108,"Gomphotheriidae",794
"Anancus kenyensis","Africa",6,6.1,"Gomphotheriidae",795
"Anancus kenyensis","Africa",5.7,5.7,"Gomphotheriidae",12
"Anancus kenyensis","Africa",5.7,5.7,"Gomphotheriidae",796
"Anancus kenyensis","Africa",5.7,5.7,"Gomphotheriidae",797
"Anancus kenyensis","Africa",5.2,5.6,"Gomphotheriidae",14
"Anancus kenyensis","Africa",5,5.5,"Gomphotheriidae",684
"Anancus kenyensis","Africa",3.6,5.33,"Gomphotheriidae",798
"Anancus kenyensis","Africa",3.36,5.33,"Gomphotheriidae",799
"Anancus kenyensis","Africa",2.6,5.33,"Gomphotheriidae",20
"Anancus kenyensis","Africa",2.6,5.33,"Gomphotheriidae",23
"Anancus kenyensis","Africa",4.9,5.2,"Gomphotheriidae",800
"Anancus kenyensis","Africa",5.2,5.2,"Gomphotheriidae",26
"Anancus kenyensis","Africa",4.32,4.51,"Gomphotheriidae",801
"Anancus kenyensis","Africa",3.6,4.2,"Gomphotheriidae",28
"Anancus kenyensis","Africa",3.6,4.2,"Gomphotheriidae",29
"Anancus kenyensis","Africa",3.4,4.2,"Gomphotheriidae",30
"Anancus kenyensis","Africa",1.785,1.845,"Gomphotheriidae",73
"Anancus kenyensis","Africa",4.2,5.3,"Gomphotheriidae",688
"Anancus osiris","Africa",3.6,5.33,"Gomphotheriidae",687
"Anancus osiris","Africa",5.3,7.1,"Gomphotheriidae",76
