"species","region","minimum.age","maximum.age","family","Site"
"Eozygodon morotoensis","Africa",20.5,23.8,"Mammutidae",1209
"Eozygodon morotoensis","Africa",20.6,21,"Mammutidae",273
"Eozygodon morotoensis","Africa",17,18,"Mammutidae",284
"Eozygodon morotoensis","Africa",17,18,"Mammutidae",286
"Eozygodon morotoensis","Africa",17.2,17.2,"Mammutidae",308
"Eozygodon morotoensis","Africa",19,20,"Mammutidae",330
"Losodokodon losodokius","Africa",24.2,27.5,"Mammutidae",1210
"Losodokodon losodokius","Africa",24.2,27.5,"Mammutidae",1211
"Mammut borsoni","Africa",2.6,5.33,"Mammutidae",804
"Mammut borsoni","Africa",1.95,2.6,"Mammutidae",1530
"Mammut obliquelophus","Africa",5.3,7.1,"Mammutidae",1533
"Zygolophodon aegyptensis","Africa",17,18,"Mammutidae",721
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",731
"Mammut borsoni","Eurasia",3.5,5.33,"Mammutidae",1508
"Mammut borsoni","Eurasia",3.4,5.3,"Mammutidae",1509
"Mammut borsoni","Eurasia",3.6,4.9,"Mammutidae",809
"Mammut borsoni","Eurasia",1.95,2.6,"Mammutidae",1510
"Mammut borsoni","Eurasia",5.3,9,"Mammutidae",1511
"Mammut borsoni","Eurasia",7.1,8.2,"Mammutidae",203
"Mammut borsoni","Eurasia",7.1,8.2,"Mammutidae",89
"Mammut borsoni","Eurasia",7.1,8.2,"Mammutidae",1512
"Mammut borsoni","Eurasia",7.1,8.2,"Mammutidae",1513
"Mammut borsoni","Eurasia",7.1,8.2,"Mammutidae",1514
"Mammut borsoni","Eurasia",5.3,7.1,"Mammutidae",92
"Mammut borsoni","Eurasia",5.4,7.1,"Mammutidae",93
"Mammut borsoni","Eurasia",5.3,7.1,"Mammutidae",736
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1515
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",737
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1516
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1517
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1518
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1519
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1520
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1521
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1522
"Mammut borsoni","Eurasia",3.5,5.33,"Mammutidae",1523
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1524
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",738
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1525
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1526
"Mammut borsoni","Eurasia",2.6,5.33,"Mammutidae",1527
"Mammut borsoni","Eurasia",4.42,5.33,"Mammutidae",1528
"Mammut borsoni","Eurasia",4.2,5.3,"Mammutidae",739
"Mammut borsoni","Eurasia",3.4,4.2,"Mammutidae",743
"Mammut borsoni","Eurasia",3.4,4.2,"Mammutidae",744
"Mammut borsoni","Eurasia",3.4,4.2,"Mammutidae",748
"Mammut borsoni","Eurasia",2.6,3.5,"Mammutidae",1529
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",754
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",755
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",756
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",757
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",759
"Mammut borsoni","Eurasia",1.95,3.4,"Mammutidae",761
"Mammut borsoni","Eurasia",1.95,3.4,"Mammutidae",762
"Mammut borsoni","Eurasia",2.6,3.5,"Mammutidae",1531
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",771
"Mammut borsoni","Eurasia",1.95,3.4,"Mammutidae",772
"Mammut borsoni","Eurasia",3.4,4.2,"Mammutidae",781
"Mammut borsoni","Eurasia",3.4,4.2,"Mammutidae",782
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",783
"Mammut borsoni","Eurasia",2.6,3.4,"Mammutidae",784
"Mammut obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1532
"Mammut obliquelophus","Eurasia",6.9,7.2,"Mammutidae",208
"Mammut obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1191
"Mammut obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1534
"Mammut obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1192
"Miomastodon gobiensis","Eurasia",15.6,18.45,"Mammutidae",986
"Miomastodon gobiensis","Eurasia",12.5,15.2,"Mammutidae",1081
"Miomastodon gobiensis","Eurasia",11.1,13.5,"Mammutidae",1026
"Miomastodon gobiensis","Eurasia",11.2,12.85,"Mammutidae",1535
"Miomastodon gobiensis","Eurasia",11.2,12.85,"Mammutidae",1077
"Miomastodon gobiensis","Eurasia",11.2,12.5,"Mammutidae",1536
"Miomastodon gobiensis","Eurasia",7.1,8.2,"Mammutidae",1055
"Miomastodon metachinjiensis","Eurasia",16.4,17.2,"Mammutidae",337
"Miomastodon proavus","Eurasia",10.65,11.2,"Mammutidae",1537
"Miomastodon proavus","Eurasia",11.2,14.2,"Mammutidae",1541
"Sinomammut tobieni","Eurasia",5.3,9,"Mammutidae",1542
"Zygolophodon chinjiensis","Eurasia",11.2,12.5,"Mammutidae",1199
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",1543
"Zygolophodon turicensis","Eurasia",10.1,11.2,"Mammutidae",1544
"Zygolophodon turicensis","Eurasia",9.5,11.2,"Mammutidae",1545
"Zygolophodon turicensis","Eurasia",12.85,14.2,"Mammutidae",1546
"Zygolophodon turicensis","Eurasia",12.85,14.2,"Mammutidae",213
"Zygolophodon turicensis","Eurasia",11.2,14.2,"Mammutidae",77
"Zygolophodon turicensis","Eurasia",11.2,12.85,"Mammutidae",1547
"Zygolophodon turicensis","Eurasia",9.5,11.2,"Mammutidae",1548
"Zygolophodon turicensis","Eurasia",7.1,9,"Mammutidae",88
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",89
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",91
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",923
"Zygolophodon turicensis","Eurasia",11.2,12.85,"Mammutidae",1549
"Zygolophodon turicensis","Eurasia",11.2,12.85,"Mammutidae",105
"Zygolophodon turicensis","Eurasia",8.2,9,"Mammutidae",848
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",119
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",803
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",1550
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",205
"Zygolophodon turicensis","Eurasia",7.1,8.2,"Mammutidae",206
"Zygolophodon turicensis","Eurasia",6.7,7.8,"Mammutidae",855
"Zygolophodon turicensis","Eurasia",6.9,7.2,"Mammutidae",856
"Zygolophodon turicensis","Eurasia",6.9,7.2,"Mammutidae",1551
"Zygolophodon turicensis","Eurasia",16.4,17.2,"Mammutidae",218
"Zygolophodon turicensis","Eurasia",15.2,18,"Mammutidae",1552
"Zygolophodon turicensis","Eurasia",15.2,18,"Mammutidae",1553
"Zygolophodon turicensis","Eurasia",16.4,17.2,"Mammutidae",225
"Zygolophodon turicensis","Eurasia",16.4,17.2,"Mammutidae",1554
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",232
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",1555
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",236
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",242
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",963
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",251
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",254
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",255
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",256
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",257
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",1556
"Zygolophodon turicensis","Eurasia",14.2,16.4,"Mammutidae",258
