species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Eritherium azzouzorum,Northern Africa,Sidi Chennane_siteSet_1,"59,2",56,incertae sedis,Bed IIa - F1 early Thanetian según Yanns et al. 2003 Gondwana Research
Daouitherium rebouli,Northern Africa,Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1,56,53,Numidotheriidae,Bed 0 (Yanns et al. 2003 Gondwana Research)
Phosphatherium escuilliei,Northern Africa,Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1,56,53,Numidotheriidae,Intercalary II/I (Yanns et al. 2003 Gondwana Research)
Khamsaconus bulbosus,Northern Africa,"N'Tagourt 2, Ouazarzate_siteSet_1",53,"52,5",incertae sedis,age updated Geerbrant 1998
Numidotherium koholense,Northern Africa,El Kohol_siteSet_1,52,51,Numidotheriidae,updated age from Coster et al. 2012
Moeritherium chehbeurameuri,Northern Africa,Bir El Ater_siteSet_1,39,38,Moeritheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Moeritherium lyonsi,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Moeritheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Numidotherium savagei,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Numidotheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Barytherium grave,Northern Africa,Dor et Talah - Idam Unit_siteSet_1,39,38,Barytheriidae,"Ashour et al. 2012 dicen que Evaporites and Idam unit are same unit, 39 to 38 MaJaeger et al Nature 2010 say 39 to 38 Ma"
Moeritherium trigodon,Northern Africa,Dor et Talah - Idam Unit_siteSet_1,39,38,Moeritheriidae,"Ashour et al. 2012 dicen que Evaporites and Idam unit are same unit, 39 to 38 MaJaeger et al Nature 2010 say 39 to 38 Ma"
Barytherium grave,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Barytheriidae,R1_Science: late Eocene/early Oligocene; Jaeger et al Nature 2010 say 39 to 38 Ma
Barytherium grave,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Barytheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Moeritheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Moeritheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,1.5 mi west of Moeritherium skeleton_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-37_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-38_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-45_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-52_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-66_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-67_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,UCMP V4754_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Moeritherium Locality_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Quarry H_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Quarry K_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
