"taxon_names","status","min.age","max.age","site"
"Chilgatherium_harrisi","extinct",27,28,7
"Deinotherium_bozasi","extinct",9.7,9.9,8
"Deinotherium_bozasi","extinct",9,9.5,9
"Deinotherium_bozasi","extinct",6.54,7.44,10
"Deinotherium_bozasi","extinct",5.3,6.54,11
"Deinotherium_bozasi","extinct",5.7,5.7,12
"Deinotherium_bozasi","extinct",5.7,5.7,13
"Deinotherium_bozasi","extinct",5.2,5.6,14
"Deinotherium_bozasi","extinct",5.54,5.6,15
"Deinotherium_bozasi","extinct",5,5.5,16
"Deinotherium_bozasi","extinct",3.6,5.33,17
"Deinotherium_bozasi","extinct",3.6,5.33,18
"Deinotherium_bozasi","extinct",2.6,5.33,19
"Deinotherium_bozasi","extinct",2.6,5.33,20
"Deinotherium_bozasi","extinct",2.6,5.33,21
"Deinotherium_bozasi","extinct",2.6,5.33,22
"Deinotherium_bozasi","extinct",2.6,5.33,23
"Deinotherium_bozasi","extinct",4.2,5.3,24
"Deinotherium_bozasi","extinct",5.2,5.2,25
"Deinotherium_bozasi","extinct",5.2,5.2,26
"Deinotherium_bozasi","extinct",3.94,4.35,27
"Deinotherium_bozasi","extinct",3.6,4.2,28
"Deinotherium_bozasi","extinct",3.6,4.2,29
"Deinotherium_bozasi","extinct",3.4,4.2,30
"Deinotherium_bozasi","extinct",4.07,4.17,31
"Deinotherium_bozasi","extinct",3.4,3.94,32
"Deinotherium_bozasi","extinct",3,3.9,33
"Deinotherium_bozasi","extinct",3.4,3.6,34
"Deinotherium_bozasi","extinct",3.4,3.6,35
"Deinotherium_bozasi","extinct",3.4,3.6,36
"Deinotherium_bozasi","extinct",3.44,3.6,37
"Deinotherium_bozasi","extinct",2.6,3.56,38
"Deinotherium_bozasi","extinct",2.6,3.56,39
"Deinotherium_bozasi","extinct",2.6,3.56,40
"Deinotherium_bozasi","extinct",3.2,3.446,41
"Deinotherium_bozasi","extinct",2.91,3.44,42
"Deinotherium_bozasi","extinct",2.91,3.44,43
"Deinotherium_bozasi","extinct",2.91,3.44,44
"Deinotherium_bozasi","extinct",2.64,3.4,45
"Deinotherium_bozasi","extinct",2.64,3.4,46
"Deinotherium_bozasi","extinct",2.52,3.4,47
"Deinotherium_bozasi","extinct",2.6,3.4,48
"Deinotherium_bozasi","extinct",2.64,3.4,49
"Deinotherium_bozasi","extinct",3.18,3.22,50
"Deinotherium_bozasi","extinct",2.53,2.91,51
"Deinotherium_bozasi","extinct",2.7,2.88,52
"Deinotherium_bozasi","extinct",1.78,2.64,53
"Deinotherium_bozasi","extinct",2.5,2.6,54
"Deinotherium_bozasi","extinct",2.52,2.6,55
"Deinotherium_bozasi","extinct",2.47,2.57,56
"Deinotherium_bozasi","extinct",2.4,2.53,57
"Deinotherium_bozasi","extinct",2.34,2.53,58
"Deinotherium_bozasi","extinct",2.34,2.52,59
"Deinotherium_bozasi","extinct",2.5,2.5,60
"Deinotherium_bozasi","extinct",2.32,2.4,61
"Deinotherium_bozasi","extinct",2.32,2.4,62
"Deinotherium_bozasi","extinct",2.27,2.32,63
"Deinotherium_bozasi","extinct",2.27,2.32,64
"Deinotherium_bozasi","extinct",1.9,2.27,65
"Deinotherium_bozasi","extinct",1.88,2,66
"Deinotherium_bozasi","extinct",1.86,2,67
"Deinotherium_bozasi","extinct",1.4,1.9,68
"Deinotherium_bozasi","extinct",1.6,1.88,69
"Deinotherium_bozasi","extinct",1.53,1.87,70
"Deinotherium_bozasi","extinct",1.53,1.87,71
"Deinotherium_bozasi","extinct",1.53,1.86,72
"Deinotherium_bozasi","extinct",1.785,1.845,73
"Deinotherium_bozasi","extinct",1.15,1.785,74
"Deinotherium_bozasi","extinct",1.33,1.53,75
"Deinotherium_bozasi","extinct",5.3,7.1,76
"Prodeinotherium_hobleyi","extinct",22.1,24.6,270
"Prodeinotherium_hobleyi","extinct",22.1,24.6,271
"Prodeinotherium_hobleyi","extinct",20.5,23.8,272
"Prodeinotherium_hobleyi","extinct",20.6,21,273
"Prodeinotherium_hobleyi","extinct",19.2,20.5,274
"Prodeinotherium_hobleyi","extinct",19.5,19.5,275
"Prodeinotherium_hobleyi","extinct",19,19.16,276
"Prodeinotherium_hobleyi","extinct",17,19,277
"Prodeinotherium_hobleyi","extinct",17,18,278
"Prodeinotherium_hobleyi","extinct",17,18,279
"Prodeinotherium_hobleyi","extinct",17,18,280
"Prodeinotherium_hobleyi","extinct",17,18,281
"Prodeinotherium_hobleyi","extinct",17,18,282
"Prodeinotherium_hobleyi","extinct",17,18,283
"Prodeinotherium_hobleyi","extinct",17,18,284
"Prodeinotherium_hobleyi","extinct",17,18,285
"Prodeinotherium_hobleyi","extinct",17,18,286
"Prodeinotherium_hobleyi","extinct",17,18,287
"Prodeinotherium_hobleyi","extinct",17,18,288
"Prodeinotherium_hobleyi","extinct",17,18,289
"Prodeinotherium_hobleyi","extinct",17,18,290
"Prodeinotherium_hobleyi","extinct",17,18,291
"Prodeinotherium_hobleyi","extinct",17,18,292
"Prodeinotherium_hobleyi","extinct",17,18,293
"Prodeinotherium_hobleyi","extinct",17,18,294
"Prodeinotherium_hobleyi","extinct",17,18,295
"Prodeinotherium_hobleyi","extinct",17,18,296
"Prodeinotherium_hobleyi","extinct",17,18,297
"Prodeinotherium_hobleyi","extinct",17,18,298
"Prodeinotherium_hobleyi","extinct",17,18,299
"Prodeinotherium_hobleyi","extinct",17,18,300
"Prodeinotherium_hobleyi","extinct",17,18,301
"Prodeinotherium_hobleyi","extinct",17,18,302
"Prodeinotherium_hobleyi","extinct",17,18,303
"Prodeinotherium_hobleyi","extinct",17,18,304
"Prodeinotherium_hobleyi","extinct",16.4,17.2,305
"Prodeinotherium_hobleyi","extinct",16.4,17.2,306
"Prodeinotherium_hobleyi","extinct",17.2,17.2,307
"Prodeinotherium_hobleyi","extinct",17.2,17.2,308
"Prodeinotherium_hobleyi","extinct",13.82,15.97,309
"Prodeinotherium_hobleyi","extinct",13.82,15.97,310
"Prodeinotherium_hobleyi","extinct",13.82,15.97,311
"Prodeinotherium_hobleyi","extinct",13.82,15.97,312
"Prodeinotherium_hobleyi","extinct",13.82,15.97,313
"Prodeinotherium_hobleyi","extinct",15,15,314
"Prodeinotherium_hobleyi","extinct",15,15,315
"Prodeinotherium_hobleyi","extinct",15,15,316
"Prodeinotherium_hobleyi","extinct",15,15,317
"Prodeinotherium_hobleyi","extinct",15,15,318
"Prodeinotherium_hobleyi","extinct",15,15,319
"Prodeinotherium_hobleyi","extinct",15,15,320
"Prodeinotherium_hobleyi","extinct",15,15,321
"Prodeinotherium_hobleyi","extinct",15,15,322
"Prodeinotherium_hobleyi","extinct",12.85,14.2,323
"Prodeinotherium_hobleyi","extinct",12.85,14.2,324
"Prodeinotherium_hobleyi","extinct",12.4,14,325
"Prodeinotherium_hobleyi","extinct",13.7,13.8,326
"Prodeinotherium_hobleyi","extinct",13.7,13.8,326
"Prodeinotherium_hobleyi","extinct",11,13,327
"Prodeinotherium_hobleyi","extinct",7.25,11.63,328
"Prodeinotherium_hobleyi","extinct",19,20,329
"Prodeinotherium_hobleyi","extinct",19,20,330
"Prodeinotherium_hobleyi","extinct",19,20,331
"Prodeinotherium_hobleyi","extinct",16.4,17.2,332
"Prodeinotherium_hobleyi","extinct",14.2,16.4,333
