"taxon_names","status","min.age","max.age","site"
"Deinotherium_giganteum","extinct",11.2,14.2,77
"Deinotherium_giganteum","extinct",11.5,13.6,78
"Deinotherium_giganteum","extinct",9.5,12.85,79
"Deinotherium_giganteum","extinct",11.2,12.85,80
"Deinotherium_giganteum","extinct",9.5,11.2,81
"Deinotherium_giganteum","extinct",9.5,11.2,82
"Deinotherium_giganteum","extinct",9.5,11.2,83
"Deinotherium_giganteum","extinct",9.5,10.35,84
"Deinotherium_giganteum","extinct",7.1,9.5,85
"Deinotherium_giganteum","extinct",9,9.5,86
"Deinotherium_giganteum","extinct",9,9.5,87
"Deinotherium_giganteum","extinct",7.1,9,88
"Deinotherium_giganteum","extinct",7.1,8.2,89
"Deinotherium_giganteum","extinct",5.3,8.2,90
"Deinotherium_giganteum","extinct",7.1,8.2,91
"Deinotherium_giganteum","extinct",5.3,7.1,92
"Deinotherium_giganteum","extinct",5.4,7.1,93
"Deinotherium_giganteum","extinct",7,7,94
"Deinotherium_giganteum","extinct",7.1,9,95
"Deinotherium_giganteum","extinct",7.1,8.2,96
"Deinotherium_giganteum","extinct",7.1,8.2,97
"Deinotherium_giganteum","extinct",7.4,7.9,98
"Deinotherium_giganteum","extinct",12.85,14.2,99
"Deinotherium_giganteum","extinct",11.2,12.85,100
"Deinotherium_giganteum","extinct",9.5,12.85,101
"Deinotherium_giganteum","extinct",11.2,12.85,102
"Deinotherium_giganteum","extinct",11.2,12.85,103
"Deinotherium_giganteum","extinct",11.2,12.85,104
"Deinotherium_giganteum","extinct",11.2,12.85,105
"Deinotherium_giganteum","extinct",11.2,12.85,106
"Deinotherium_giganteum","extinct",11.434,11.852,107
"Deinotherium_giganteum","extinct",9.5,11.2,108
"Deinotherium_giganteum","extinct",9,11.2,109
"Deinotherium_giganteum","extinct",9.5,11.2,110
"Deinotherium_giganteum","extinct",9.5,11.2,111
"Deinotherium_giganteum","extinct",10.94,10.989,112
"Deinotherium_giganteum","extinct",9.491,9.592,113
"Deinotherium_giganteum","extinct",9,9.5,114
"Deinotherium_giganteum","extinct",9,9.5,115
"Deinotherium_giganteum","extinct",9.149,9.428,116
"Deinotherium_giganteum","extinct",8.2,9,117
"Deinotherium_giganteum","extinct",8.2,9,118
"Deinotherium_giganteum","extinct",7.1,8.2,119
"Deinotherium_giganteum","extinct",7.1,8.2,120
"Deinotherium_giganteum","extinct",7.1,9.88,121
"Deinotherium_giganteum","extinct",8.538,9.55,122
"Deinotherium_giganteum","extinct",9,9.5,123
"Deinotherium_giganteum","extinct",9,9.5,124
"Deinotherium_giganteum","extinct",9.069,9.149,125
"Deinotherium_giganteum","extinct",8.529,8.861,126
"Deinotherium_giganteum","extinct",7.1,8.2,127
"Deinotherium_giganteum","extinct",12.85,14.2,128
"Deinotherium_giganteum","extinct",12.85,14.2,129
"Deinotherium_giganteum","extinct",12.85,14.2,130
"Deinotherium_giganteum","extinct",12.85,14.2,131
"Deinotherium_giganteum","extinct",12.85,14.2,132
"Deinotherium_giganteum","extinct",11.5,13.6,133
"Deinotherium_giganteum","extinct",11.2,12.85,134
"Deinotherium_giganteum","extinct",11.2,12.85,135
"Deinotherium_giganteum","extinct",11.2,12.85,136
"Deinotherium_giganteum","extinct",11.2,12.85,137
"Deinotherium_giganteum","extinct",11.2,12.85,138
"Deinotherium_giganteum","extinct",11.2,12.85,139
"Deinotherium_giganteum","extinct",11.2,12.85,140
"Deinotherium_giganteum","extinct",11.2,12.85,141
"Deinotherium_giganteum","extinct",11.2,12.85,142
