"taxon_names","status","min.age","max.age","site"
"Chilgatherium harrisi","extinct",27,28,7
"Deinotherium bozasi","extinct",9.7,9.9,8
"Deinotherium bozasi","extinct",9,9.5,9
"Deinotherium bozasi","extinct",6.54,7.44,10
"Deinotherium bozasi","extinct",5.3,6.54,11
"Deinotherium bozasi","extinct",5.7,5.7,12
"Deinotherium bozasi","extinct",5.7,5.7,13
"Deinotherium bozasi","extinct",5.2,5.6,14
"Deinotherium bozasi","extinct",5.54,5.6,15
"Deinotherium bozasi","extinct",5,5.5,16
"Deinotherium bozasi","extinct",3.6,5.33,17
"Deinotherium bozasi","extinct",3.6,5.33,18
"Deinotherium bozasi","extinct",2.6,5.33,19
"Deinotherium bozasi","extinct",2.6,5.33,20
"Deinotherium bozasi","extinct",2.6,5.33,21
"Deinotherium bozasi","extinct",2.6,5.33,22
"Deinotherium bozasi","extinct",2.6,5.33,23
"Deinotherium bozasi","extinct",4.2,5.3,24
"Deinotherium bozasi","extinct",5.2,5.2,25
"Deinotherium bozasi","extinct",5.2,5.2,26
"Deinotherium bozasi","extinct",3.94,4.35,27
"Deinotherium bozasi","extinct",3.6,4.2,28
"Deinotherium bozasi","extinct",3.6,4.2,29
"Deinotherium bozasi","extinct",3.4,4.2,30
"Deinotherium bozasi","extinct",4.07,4.17,31
"Deinotherium bozasi","extinct",3.4,3.94,32
"Deinotherium bozasi","extinct",3,3.9,33
"Deinotherium bozasi","extinct",3.4,3.6,34
"Deinotherium bozasi","extinct",3.4,3.6,35
"Deinotherium bozasi","extinct",3.4,3.6,36
"Deinotherium bozasi","extinct",3.44,3.6,37
"Deinotherium bozasi","extinct",2.6,3.56,38
"Deinotherium bozasi","extinct",2.6,3.56,39
"Deinotherium bozasi","extinct",2.6,3.56,40
"Deinotherium bozasi","extinct",3.2,3.446,41
"Deinotherium bozasi","extinct",2.91,3.44,42
"Deinotherium bozasi","extinct",2.91,3.44,43
"Deinotherium bozasi","extinct",2.91,3.44,44
"Deinotherium bozasi","extinct",2.64,3.4,45
"Deinotherium bozasi","extinct",2.64,3.4,46
"Deinotherium bozasi","extinct",2.52,3.4,47
"Deinotherium bozasi","extinct",2.6,3.4,48
"Deinotherium bozasi","extinct",2.64,3.4,49
"Deinotherium bozasi","extinct",3.18,3.22,50
"Deinotherium bozasi","extinct",2.53,2.91,51
"Deinotherium bozasi","extinct",2.7,2.88,52
"Deinotherium bozasi","extinct",1.78,2.64,53
"Deinotherium bozasi","extinct",2.5,2.6,54
"Deinotherium bozasi","extinct",2.52,2.6,55
"Deinotherium bozasi","extinct",2.47,2.57,56
"Deinotherium bozasi","extinct",2.4,2.53,57
"Deinotherium bozasi","extinct",2.34,2.53,58
"Deinotherium bozasi","extinct",2.34,2.52,59
"Deinotherium bozasi","extinct",2.5,2.5,60
"Deinotherium bozasi","extinct",2.32,2.4,61
"Deinotherium bozasi","extinct",2.32,2.4,62
"Deinotherium bozasi","extinct",2.27,2.32,63
"Deinotherium bozasi","extinct",2.27,2.32,64
"Deinotherium bozasi","extinct",1.9,2.27,65
"Deinotherium bozasi","extinct",1.88,2,66
"Deinotherium bozasi","extinct",1.86,2,67
"Deinotherium bozasi","extinct",1.4,1.9,68
"Deinotherium bozasi","extinct",1.6,1.88,69
"Deinotherium bozasi","extinct",1.53,1.87,70
"Deinotherium bozasi","extinct",1.53,1.87,71
"Deinotherium bozasi","extinct",1.53,1.86,72
"Deinotherium bozasi","extinct",1.785,1.845,73
"Deinotherium bozasi","extinct",1.15,1.785,74
"Deinotherium bozasi","extinct",1.33,1.53,75
"Deinotherium bozasi","extinct",5.3,7.1,76
"Prodeinotherium hobleyi","extinct",22.1,24.6,270
"Prodeinotherium hobleyi","extinct",22.1,24.6,271
"Prodeinotherium hobleyi","extinct",20.5,23.8,272
"Prodeinotherium hobleyi","extinct",20.6,21,273
"Prodeinotherium hobleyi","extinct",19.2,20.5,274
"Prodeinotherium hobleyi","extinct",19.5,19.5,275
"Prodeinotherium hobleyi","extinct",19,19.16,276
"Prodeinotherium hobleyi","extinct",17,19,277
"Prodeinotherium hobleyi","extinct",17,18,278
"Prodeinotherium hobleyi","extinct",17,18,279
"Prodeinotherium hobleyi","extinct",17,18,280
"Prodeinotherium hobleyi","extinct",17,18,281
"Prodeinotherium hobleyi","extinct",17,18,282
"Prodeinotherium hobleyi","extinct",17,18,283
"Prodeinotherium hobleyi","extinct",17,18,284
"Prodeinotherium hobleyi","extinct",17,18,285
"Prodeinotherium hobleyi","extinct",17,18,286
"Prodeinotherium hobleyi","extinct",17,18,287
"Prodeinotherium hobleyi","extinct",17,18,288
"Prodeinotherium hobleyi","extinct",17,18,289
"Prodeinotherium hobleyi","extinct",17,18,290
"Prodeinotherium hobleyi","extinct",17,18,291
"Prodeinotherium hobleyi","extinct",17,18,292
"Prodeinotherium hobleyi","extinct",17,18,293
"Prodeinotherium hobleyi","extinct",17,18,294
"Prodeinotherium hobleyi","extinct",17,18,295
"Prodeinotherium hobleyi","extinct",17,18,296
"Prodeinotherium hobleyi","extinct",17,18,297
"Prodeinotherium hobleyi","extinct",17,18,298
"Prodeinotherium hobleyi","extinct",17,18,299
"Prodeinotherium hobleyi","extinct",17,18,300
"Prodeinotherium hobleyi","extinct",17,18,301
"Prodeinotherium hobleyi","extinct",17,18,302
"Prodeinotherium hobleyi","extinct",17,18,303
"Prodeinotherium hobleyi","extinct",17,18,304
"Prodeinotherium hobleyi","extinct",16.4,17.2,305
"Prodeinotherium hobleyi","extinct",16.4,17.2,306
"Prodeinotherium hobleyi","extinct",17.2,17.2,307
"Prodeinotherium hobleyi","extinct",17.2,17.2,308
"Prodeinotherium hobleyi","extinct",13.82,15.97,309
"Prodeinotherium hobleyi","extinct",13.82,15.97,310
"Prodeinotherium hobleyi","extinct",13.82,15.97,311
"Prodeinotherium hobleyi","extinct",13.82,15.97,312
"Prodeinotherium hobleyi","extinct",13.82,15.97,313
"Prodeinotherium hobleyi","extinct",15,15,314
"Prodeinotherium hobleyi","extinct",15,15,315
"Prodeinotherium hobleyi","extinct",15,15,316
"Prodeinotherium hobleyi","extinct",15,15,317
"Prodeinotherium hobleyi","extinct",15,15,318
"Prodeinotherium hobleyi","extinct",15,15,319
"Prodeinotherium hobleyi","extinct",15,15,320
"Prodeinotherium hobleyi","extinct",15,15,321
"Prodeinotherium hobleyi","extinct",15,15,322
"Prodeinotherium hobleyi","extinct",12.85,14.2,323
"Prodeinotherium hobleyi","extinct",12.85,14.2,324
"Prodeinotherium hobleyi","extinct",12.4,14,325
"Prodeinotherium hobleyi","extinct",13.7,13.8,326
"Prodeinotherium hobleyi","extinct",13.7,13.8,326
"Prodeinotherium hobleyi","extinct",11,13,327
"Prodeinotherium hobleyi","extinct",7.25,11.63,328
"Prodeinotherium hobleyi","extinct",19,20,329
"Prodeinotherium hobleyi","extinct",19,20,330
"Prodeinotherium hobleyi","extinct",19,20,331
"Prodeinotherium hobleyi","extinct",16.4,17.2,332
"Prodeinotherium hobleyi","extinct",14.2,16.4,333
"Deinotherium giganteum","extinct",11.2,14.2,77
"Deinotherium giganteum","extinct",11.5,13.6,78
"Deinotherium giganteum","extinct",9.5,12.85,79
"Deinotherium giganteum","extinct",11.2,12.85,80
"Deinotherium giganteum","extinct",9.5,11.2,81
"Deinotherium giganteum","extinct",9.5,11.2,82
"Deinotherium giganteum","extinct",9.5,11.2,83
"Deinotherium giganteum","extinct",9.5,10.35,84
"Deinotherium giganteum","extinct",7.1,9.5,85
"Deinotherium giganteum","extinct",9,9.5,86
"Deinotherium giganteum","extinct",9,9.5,87
"Deinotherium giganteum","extinct",7.1,9,88
"Deinotherium giganteum","extinct",7.1,8.2,89
"Deinotherium giganteum","extinct",5.3,8.2,90
"Deinotherium giganteum","extinct",7.1,8.2,91
"Deinotherium giganteum","extinct",5.3,7.1,92
"Deinotherium giganteum","extinct",5.4,7.1,93
"Deinotherium giganteum","extinct",7,7,94
"Deinotherium giganteum","extinct",7.1,9,95
"Deinotherium giganteum","extinct",7.1,8.2,96
"Deinotherium giganteum","extinct",7.1,8.2,97
"Deinotherium giganteum","extinct",7.4,7.9,98
"Deinotherium giganteum","extinct",12.85,14.2,99
"Deinotherium giganteum","extinct",11.2,12.85,100
"Deinotherium giganteum","extinct",9.5,12.85,101
"Deinotherium giganteum","extinct",11.2,12.85,102
"Deinotherium giganteum","extinct",11.2,12.85,103
"Deinotherium giganteum","extinct",11.2,12.85,104
"Deinotherium giganteum","extinct",11.2,12.85,105
"Deinotherium giganteum","extinct",11.2,12.85,106
"Deinotherium giganteum","extinct",11.434,11.852,107
"Deinotherium giganteum","extinct",9.5,11.2,108
"Deinotherium giganteum","extinct",9,11.2,109
"Deinotherium giganteum","extinct",9.5,11.2,110
"Deinotherium giganteum","extinct",9.5,11.2,111
"Deinotherium giganteum","extinct",10.94,10.989,112
"Deinotherium giganteum","extinct",9.491,9.592,113
"Deinotherium giganteum","extinct",9,9.5,114
