"taxon_names","status","min.age","max.age","site"
"Elephas atavus","extinct",2.6,3.56,341
"Elephas atavus","extinct",2.91,3.44,42
"Elephas atavus","extinct",2.91,3.44,43
"Elephas atavus","extinct",2.91,3.44,44
"Elephas atavus","extinct",1.8,2.4,342
"Elephas atavus","extinct",1.87,2.33,343
"Elephas atavus","extinct",2.06,2.33,344
"Elephas atavus","extinct",2.27,2.32,63
"Elephas atavus","extinct",2.27,2.32,64
"Elephas atavus","extinct",2.1,2.3,345
"Elephas atavus","extinct",1.9,2.27,65
"Elephas atavus","extinct",1.88,2,66
"Elephas atavus","extinct",1.86,2,67
"Elephas atavus","extinct",1.86,2,67
"Elephas atavus","extinct",1.78,1.95,346
"Elephas atavus","extinct",1.78,1.95,346
"Elephas atavus","extinct",1.53,1.87,70
"Elephas atavus","extinct",1.53,1.87,71
"Elephas atavus","extinct",1.785,1.845,73
"Elephas atavus","extinct",1.6,1.8,347
"Elephas atavus","extinct",1.15,1.785,74
"Elephas atavus","extinct",1.81,2.2,348
"Elephas ekorensis","extinct",2.6,5.33,349
"Elephas ekorensis","extinct",4.2,5.3,24
"Elephas ekorensis","extinct",4,4.5,350
"Elephas ekorensis","extinct",3.6,4.2,29
"Elephas ekorensis","extinct",3.4,4.2,30
"Elephas ekorensis","extinct",4.07,4.17,31
"Elephas ekorensis","extinct",3,3.9,33
"Elephas ekorensis","extinct",3.2,3.8,351
"Elephas ekorensis","extinct",2.6,3.56,352
"Elephas ekorensis","extinct",2.95,3.56,353
"Elephas ekorensis","extinct",2.6,3.56,39
"Elephas ekorensis","extinct",2.6,3.56,40
"Elephas ekorensis","extinct",3.2,3.446,41
"Elephas ekorensis","extinct",3.18,3.22,50
"Elephas planifrons","extinct",3.44,3.6,37
"Elephas planifrons","extinct",1.88,2,66
"Loxodonta adaurora","extinct",2.6,5.33,349
"Loxodonta adaurora","extinct",4.2,5.3,24
"Loxodonta adaurora","extinct",3.6,4.2,28
"Loxodonta adaurora","extinct",3.6,4.2,29
"Loxodonta adaurora","extinct",3.4,4.2,30
"Loxodonta adaurora","extinct",4.07,4.17,31
"Loxodonta adaurora","extinct",3.4,3.94,376
"Loxodonta adaurora","extinct",3.4,3.94,32
"Loxodonta adaurora","extinct",3.4,3.9,377
"Loxodonta adaurora","extinct",3,3.9,33
"Loxodonta adaurora","extinct",3.4,3.6,35
"Loxodonta adaurora","extinct",3.44,3.6,37
"Loxodonta adaurora","extinct",2.6,3.56,38
"Loxodonta adaurora","extinct",2.6,3.56,40
"Loxodonta adaurora","extinct",2.6,3.56,378
"Loxodonta adaurora","extinct",3.2,3.446,41
"Loxodonta adaurora","extinct",2.53,3.44,379
"Loxodonta adaurora","extinct",2.52,3.4,380
"Loxodonta adaurora","extinct",2.52,3.4,47
"Loxodonta adaurora","extinct",3.18,3.22,50
"Loxodonta adaurora","extinct",2.53,2.91,51
"Loxodonta adaurora","extinct",2.32,2.4,381
"Loxodonta africana","extinct",0.117,0.781,382
"Loxodonta africana","extinct",0,0.012,383
"Loxodonta africana","extinct",0,0.012,384
"Loxodonta africana","extinct",0,0.012,385
"Loxodonta africana","extinct",0.082,0.17,386
