"taxon_names","status","min.age","max.age","site"
"Elephas_atavus","extinct",2.6,3.56,341
"Elephas_atavus","extinct",2.91,3.44,42
"Elephas_atavus","extinct",2.91,3.44,43
"Elephas_atavus","extinct",2.91,3.44,44
"Elephas_atavus","extinct",1.8,2.4,342
"Elephas_atavus","extinct",1.87,2.33,343
"Elephas_atavus","extinct",2.06,2.33,344
"Elephas_atavus","extinct",2.27,2.32,63
"Elephas_atavus","extinct",2.27,2.32,64
"Elephas_atavus","extinct",2.1,2.3,345
"Elephas_atavus","extinct",1.9,2.27,65
"Elephas_atavus","extinct",1.88,2,66
"Elephas_atavus","extinct",1.86,2,67
"Elephas_atavus","extinct",1.86,2,67
"Elephas_atavus","extinct",1.78,1.95,346
"Elephas_atavus","extinct",1.78,1.95,346
"Elephas_atavus","extinct",1.53,1.87,70
"Elephas_atavus","extinct",1.53,1.87,71
"Elephas_atavus","extinct",1.785,1.845,73
"Elephas_atavus","extinct",1.6,1.8,347
"Elephas_atavus","extinct",1.15,1.785,74
"Elephas_atavus","extinct",1.81,2.2,348
"Elephas_ekorensis","extinct",2.6,5.33,349
"Elephas_ekorensis","extinct",4.2,5.3,24
"Elephas_ekorensis","extinct",4,4.5,350
"Elephas_ekorensis","extinct",3.6,4.2,29
"Elephas_ekorensis","extinct",3.4,4.2,30
"Elephas_ekorensis","extinct",4.07,4.17,31
"Elephas_ekorensis","extinct",3,3.9,33
"Elephas_ekorensis","extinct",3.2,3.8,351
"Elephas_ekorensis","extinct",2.6,3.56,352
"Elephas_ekorensis","extinct",2.95,3.56,353
"Elephas_ekorensis","extinct",2.6,3.56,39
"Elephas_ekorensis","extinct",2.6,3.56,40
"Elephas_ekorensis","extinct",3.2,3.446,41
"Elephas_ekorensis","extinct",3.18,3.22,50
"Elephas_planifrons","extinct",3.44,3.6,37
"Elephas_planifrons","extinct",1.88,2,66
"Loxodonta_adaurora","extinct",2.6,5.33,349
"Loxodonta_adaurora","extinct",4.2,5.3,24
"Loxodonta_adaurora","extinct",3.6,4.2,28
"Loxodonta_adaurora","extinct",3.6,4.2,29
"Loxodonta_adaurora","extinct",3.4,4.2,30
"Loxodonta_adaurora","extinct",4.07,4.17,31
"Loxodonta_adaurora","extinct",3.4,3.94,376
"Loxodonta_adaurora","extinct",3.4,3.94,32
"Loxodonta_adaurora","extinct",3.4,3.9,377
"Loxodonta_adaurora","extinct",3,3.9,33
"Loxodonta_adaurora","extinct",3.4,3.6,35
"Loxodonta_adaurora","extinct",3.44,3.6,37
"Loxodonta_adaurora","extinct",2.6,3.56,38
"Loxodonta_adaurora","extinct",2.6,3.56,40
"Loxodonta_adaurora","extinct",2.6,3.56,378
"Loxodonta_adaurora","extinct",3.2,3.446,41
"Loxodonta_adaurora","extinct",2.53,3.44,379
"Loxodonta_adaurora","extinct",2.52,3.4,380
"Loxodonta_adaurora","extinct",2.52,3.4,47
"Loxodonta_adaurora","extinct",3.18,3.22,50
"Loxodonta_adaurora","extinct",2.53,2.91,51
"Loxodonta_adaurora","extinct",2.32,2.4,381
"Loxodonta_africana","extinct",0.117,0.781,382
"Loxodonta_africana","extinct",0,0.012,383
