"taxon_names","status","min.age","max.age","site"
"Afrochoerodon kisumuensis","extinct",19,19.16,276
"Afrochoerodon kisumuensis","extinct",13.82,15.97,310
"Afrochoerodon kisumuensis","extinct",13.82,15.97,311
"Afrochoerodon kisumuensis","extinct",13.82,15.97,716
"Afrochoerodon kisumuensis","extinct",13.82,15.97,717
"Afrochoerodon kisumuensis","extinct",15.5,15.5,718
"Afrochoerodon kisumuensis","extinct",14.7,15.2,719
"Afrochoerodon kisumuensis","extinct",11.63,13.82,720
"Afrochoerodon kisumuensis","extinct",17,18,721
"Afromastodon coppensi","extinct",14.2,16.4,333
"Anancus kenyensis","extinct",6.54,7.44,10
"Anancus kenyensis","extinct",5.3,7.1,585
"Anancus kenyensis","extinct",2.6,7.1,792
"Anancus kenyensis","extinct",6,7,793
"Anancus kenyensis","extinct",5.3,6.54,11
"Anancus kenyensis","extinct",5.6,6.3,681
"Anancus kenyensis","extinct",5.6,6.2,682
"Anancus kenyensis","extinct",5.6,6.2,683
"Anancus kenyensis","extinct",6.04,6.108,794
"Anancus kenyensis","extinct",6,6.1,795
"Anancus kenyensis","extinct",5.7,5.7,12
"Anancus kenyensis","extinct",5.7,5.7,796
"Anancus kenyensis","extinct",5.7,5.7,797
"Anancus kenyensis","extinct",5.2,5.6,14
"Anancus kenyensis","extinct",5,5.5,684
"Anancus kenyensis","extinct",3.6,5.33,798
"Anancus kenyensis","extinct",3.36,5.33,799
"Anancus kenyensis","extinct",2.6,5.33,20
"Anancus kenyensis","extinct",2.6,5.33,23
"Anancus kenyensis","extinct",4.9,5.2,800
"Anancus kenyensis","extinct",5.2,5.2,26
"Anancus kenyensis","extinct",4.32,4.51,801
"Anancus kenyensis","extinct",3.6,4.2,28
"Anancus kenyensis","extinct",3.6,4.2,29
"Anancus kenyensis","extinct",3.4,4.2,30
"Anancus kenyensis","extinct",1.785,1.845,73
"Anancus kenyensis","extinct",4.2,5.3,688
"Anancus osiris","extinct",3.6,5.33,687
"Anancus osiris","extinct",5.3,7.1,76
"Anancus osiris","extinct",2.6,5.33,804
