"taxon_names","status","min.age","max.age","site"
"Afrochoerodon_kisumuensis","extinct",19,19.16,276
"Afrochoerodon_kisumuensis","extinct",13.82,15.97,310
"Afrochoerodon_kisumuensis","extinct",13.82,15.97,311
"Afrochoerodon_kisumuensis","extinct",13.82,15.97,709
"Afrochoerodon_kisumuensis","extinct",13.82,15.97,710
"Afrochoerodon_kisumuensis","extinct",15.5,15.5,711
"Afrochoerodon_kisumuensis","extinct",14.7,15.2,712
"Afrochoerodon_kisumuensis","extinct",11.63,13.82,713
"Afrochoerodon_kisumuensis","extinct",17,18,714
"Afromastodon_coppensi","extinct",14.2,16.4,333
"Anancus_kenyensis","extinct",6.54,7.44,10
"Anancus_kenyensis","extinct",5.3,7.1,578
"Anancus_kenyensis","extinct",2.6,7.1,785
"Anancus_kenyensis","extinct",6,7,786
"Anancus_kenyensis","extinct",5.3,6.54,11
"Anancus_kenyensis","extinct",5.6,6.3,674
"Anancus_kenyensis","extinct",5.6,6.2,675
"Anancus_kenyensis","extinct",5.6,6.2,676
"Anancus_kenyensis","extinct",6.04,6.108,787
"Anancus_kenyensis","extinct",6,6.1,788
"Anancus_kenyensis","extinct",5.7,5.7,12
"Anancus_kenyensis","extinct",5.7,5.7,789
"Anancus_kenyensis","extinct",5.7,5.7,790
"Anancus_kenyensis","extinct",5.2,5.6,14
"Anancus_kenyensis","extinct",5,5.5,677
"Anancus_kenyensis","extinct",3.6,5.33,791
"Anancus_kenyensis","extinct",3.36,5.33,792
"Anancus_kenyensis","extinct",2.6,5.33,20
"Anancus_kenyensis","extinct",2.6,5.33,23
"Anancus_kenyensis","extinct",4.9,5.2,793
"Anancus_kenyensis","extinct",5.2,5.2,26
"Anancus_kenyensis","extinct",4.32,4.51,794
"Anancus_kenyensis","extinct",3.6,4.2,28
"Anancus_kenyensis","extinct",3.6,4.2,29
"Anancus_kenyensis","extinct",3.4,4.2,30
"Anancus_kenyensis","extinct",1.785,1.845,73
"Anancus_kenyensis","extinct",4.2,5.3,681
"Anancus_osiris","extinct",3.6,5.33,680
"Anancus_osiris","extinct",5.3,7.1,76
"Anancus_osiris","extinct",2.6,5.33,797
"Anancus_osiris","extinct",3.4,4.2,413
"Anancus_osiris","extinct",2.6,3.4,798
"Anancus_osiris","extinct",1.95,2.6,417
"Anancus_osiris","extinct",1.81,2.2,348
"Anancus_osiris","extinct",1.6,1.8,498
"Anancus_petrocchii","extinct",5.3,7.1,701
"Anancus_ultimus","extinct",2.6,5.33,349
"Anancus_ultimus","extinct",3.85,4.4,804
"Anancus_ultimus","extinct",3.58,3.85,407
"Anancus_ultimus","extinct",4.2,5.3,805
"Anancus_ultimus","extinct",2.6,3.1,806
"Archaeobelodon_filholi","extinct",19.2,20.5,274
"Archaeobelodon_filholi","extinct",19,20,808
"Archaeobelodon_filholi","extinct",16.4,17.2,306
"Archaeobelodon_filholi","extinct",13.82,15.97,313
"Choerolophodon_ngorora","extinct",13.82,15.97,820
"Choerolophodon_ngorora","extinct",13.9,14,821
"Choerolophodon_ngorora","extinct",13.9,14,822
"Choerolophodon_ngorora","extinct",11.63,13.82,823
"Choerolophodon_ngorora","extinct",13.7,13.8,326
"Choerolophodon_ngorora","extinct",7.25,11.63,824
"Choerolophodon_ngorora","extinct",7.25,11.63,825
"Choerolophodon_ngorora","extinct",9,9.5,9
"Gomphotherium_angustidens","extinct",16.4,17.2,305
"Gomphotherium_angustidens","extinct",16.4,17.2,894
"Gomphotherium_angustidens","extinct",17.2,17.2,308
"Gomphotherium_angustidens","extinct",15.97,20.44,898
"Gomphotherium_angustidens","extinct",17,18,714
"Gomphotherium_angustidens","extinct",11,13,327
"Gomphotherium_basal","extinct",27,28,7
"Gomphotherium_basal","extinct",22.1,24.6,270
"Gomphotherium_basal","extinct",28,29,967
"Konobelodon_cyrenaicus","extinct",5.3,7.1,701
"Progomphotherium_maraisi","extinct",20.6,21,273
"Progomphotherium_maraisi","extinct",19,20,329
"Protanancus_macinnesi","extinct",13.82,15.97,309
"Protanancus_macinnesi","extinct",13.82,15.97,311
"Protanancus_macinnesi","extinct",13.82,15.97,312
"Protanancus_macinnesi","extinct",13.82,15.97,709
"Protanancus_macinnesi","extinct",15.5,15.5,1075
"Protanancus_macinnesi","extinct",15,15,316
"Protanancus_macinnesi","extinct",15,15,317
"Protanancus_macinnesi","extinct",15,15,318
"Protanancus_macinnesi","extinct",15,15,1076
"Protanancus_macinnesi","extinct",15,15,319
"Protanancus_macinnesi","extinct",15,15,321
"Protanancus_macinnesi","extinct",15,15,1077
"Protanancus_macinnesi","extinct",15,15,1078
"Protanancus_macinnesi","extinct",15,15,322
"Protanancus_macinnesi","extinct",12.85,14.2,324
"Protanancus_macinnesi","extinct",12.4,14,325
"Protanancus_macinnesi","extinct",13.7,13.8,326
"Tetralophodon_longirostris","extinct",11,13,327
"Tetralophodon_longirostris","extinct",5.3,9,1137
