"taxon_names","status","min.age","max.age","site"
"Anancus_arvernensis","extinct",2.6,5.33,724
"Anancus_arvernensis","extinct",3.5,4.87,725
"Anancus_arvernensis","extinct",2.6,4.42,726
"Anancus_arvernensis","extinct",2.433,2.917,727
"Anancus_arvernensis","extinct",2.433,2.917,728
"Anancus_arvernensis","extinct",2.192,2.433,481
"Anancus_arvernensis","extinct",5.3,7.1,729
"Anancus_arvernensis","extinct",2.6,5.33,730
"Anancus_arvernensis","extinct",2.6,5.33,731
"Anancus_arvernensis","extinct",4.2,5.3,732
"Anancus_arvernensis","extinct",4.2,5.3,733
"Anancus_arvernensis","extinct",4.2,5.3,734
"Anancus_arvernensis","extinct",3.5,4.42,735
"Anancus_arvernensis","extinct",3.4,4.2,736
"Anancus_arvernensis","extinct",3.4,4.2,737
"Anancus_arvernensis","extinct",2.275,4.2,738
"Anancus_arvernensis","extinct",3.4,4.2,739
"Anancus_arvernensis","extinct",3.4,4.2,740
"Anancus_arvernensis","extinct",3.4,4.2,741
"Anancus_arvernensis","extinct",2.6,3.5,742
"Anancus_arvernensis","extinct",2.6,3.5,484
"Anancus_arvernensis","extinct",2.6,3.5,743
"Anancus_arvernensis","extinct",2.6,3.5,744
"Anancus_arvernensis","extinct",2.6,3.5,745
"Anancus_arvernensis","extinct",2.6,3.5,746
"Anancus_arvernensis","extinct",2.6,3.4,747
"Anancus_arvernensis","extinct",2.6,3.4,748
"Anancus_arvernensis","extinct",2.6,3.4,749
"Anancus_arvernensis","extinct",2.6,3.4,750
"Anancus_arvernensis","extinct",2.6,3.4,751
"Anancus_arvernensis","extinct",2.6,3.4,752
"Anancus_arvernensis","extinct",1.95,3.4,753
"Anancus_arvernensis","extinct",1.95,3.4,754
"Anancus_arvernensis","extinct",1.95,3.4,755
"Anancus_arvernensis","extinct",2.6,3.4,756
"Anancus_arvernensis","extinct",1.95,2.131,757
"Anancus_arvernensis","extinct",11.2,12.85,105
"Anancus_arvernensis","extinct",5.3,7.1,758
"Anancus_arvernensis","extinct",4.2,5.3,759
"Anancus_arvernensis","extinct",4.2,5.3,760
"Anancus_arvernensis","extinct",4.2,5.3,761
"Anancus_arvernensis","extinct",4.2,5.3,762
"Anancus_arvernensis","extinct",2.6,3.4,763
"Anancus_arvernensis","extinct",2.6,3.4,764
"Anancus_arvernensis","extinct",1.95,3.4,765
"Anancus_arvernensis","extinct",2.6,3.4,766
"Anancus_arvernensis","extinct",1.98,2.6,502
"Anancus_arvernensis","extinct",2.32,2.6,504
"Anancus_arvernensis","extinct",1.95,2.6,506
"Anancus_arvernensis","extinct",1.98,2.6,507
"Anancus_arvernensis","extinct",2.32,2.6,767
"Anancus_arvernensis","extinct",4.2,7.1,768
"Anancus_arvernensis","extinct",2.6,3.4,769
"Anancus_arvernensis","extinct",4.2,5.3,770
"Anancus_arvernensis","extinct",4.2,5.3,771
"Anancus_arvernensis","extinct",4.2,5.3,772
"Anancus_arvernensis","extinct",4.2,5.3,773
"Anancus_arvernensis","extinct",3.4,4.2,774
"Anancus_arvernensis","extinct",3.4,4.2,775
"Anancus_arvernensis","extinct",2.6,3.4,776
"Anancus_arvernensis","extinct",2.6,3.4,777
"Anancus_arvernensis","extinct",1.95,2.675,531
"Anancus_arvernensis","extinct",1.95,2.675,532
"Anancus_arvernensis","extinct",1.95,2.6,534
"Anancus_arvernensis","extinct",1.95,2.6,535
"Anancus_arvernensis","extinct",1.95,2.6,778
"Anancus_arvernensis","extinct",1.95,2.6,536
"Anancus_arvernensis","extinct",1.95,2.6,779
"Anancus_arvernensis","extinct",2.5,2.5,780
"Anancus_kazachstanensis","extinct",3.875,4.825,781
"Anancus_kazachstanensis","extinct",3.875,4.825,782
"Anancus_kazachstanensis","extinct",3,3.4,783
"Anancus_kazachstanensis","extinct",1.95,2.6,784
"Anancus_lehmanni","extinct",7,7,94
"Anancus_lehmanni","extinct",7.1,8.2,795
"Anancus_lehmanni","extinct",7.1,8.2,119
"Anancus_lehmanni","extinct",7.1,8.2,796
"Anancus_lehmanni","extinct",8.2,9,210
"Anancus_lehmanni","extinct",8.2,9,210
"Anancus_perimensis","extinct",2.6,3.56,671
"Anancus_sinensis","extinct",2.433,2.917,727
"Anancus_sinensis","extinct",5.3,9,799
"Anancus_sinensis","extinct",3.4,5.3,800
"Anancus_sinensis","extinct",3.4,5.3,801
"Anancus_sinensis","extinct",3.6,4.9,802
"Anancus_sinensis","extinct",2.6,3.4,803
"Anancus_sivalensis","extinct",0.63,2,362
"Aphanobelodon_zhaoi","extinct",13.5,15,807
"Archaeobelodon_filholi","extinct",16.4,17.2,216
"Archaeobelodon_filholi","extinct",16.4,17.2,809
