"taxon_names","status","min.age","max.age","site"
"Amebelodon_floridanus","extinct",7.6,9,715
"Amebelodon_floridanus","extinct",7.6,9,716
"Amebelodon_floridanus","extinct",6.8,9,717
"Amebelodon_floridanus","extinct",6.8,7.6,718
"Amebelodon_floridanus","extinct",4.9,5.9,719
"Amebelodon_fricki","extinct",7.6,9,720
"Amebelodon_fricki","extinct",7.6,9,721
"Amebelodon_fricki","extinct",6.8,7.6,722
"Amebelodon_fricki","extinct",6.8,7.6,718
"Amebelodon_fricki","extinct",6.8,7.6,723
"Cuvieronius_hyodon","extinct",1.9,2.5,877
"Cuvieronius_hyodon","extinct",1.9,2.5,878
"Cuvieronius_hyodon","extinct",1.9,2.5,879
"Cuvieronius_hyodon","extinct",0.85,1.9,880
"Cuvieronius_hyodon","extinct",0.85,1.9,881
"Cuvieronius_hyodon","extinct",0.85,1.9,882
"Cuvieronius_hyodon","extinct",0.85,1.9,883
"Cuvieronius_hyodon","extinct",0.85,1.9,884
"Cuvieronius_hyodon","extinct",0.85,1.9,500
"Cuvieronius_hyodon","extinct",0.85,1.9,885
"Eubelodon_morrilli","extinct",12.5,14.8,886
"Eubelodon_morrilli","extinct",12.5,14.8,887
"Eubelodon_morrilli","extinct",12.1,12.5,888
"Eubelodon_morrilli","extinct",10.1,12.1,889
"Gnathabelodon_buckneri","extinct",10.1,12.1,890
"Gnathabelodon_thorpei","extinct",7.6,9,715
"Gomphotherium_productum","extinct",13.6,15.97,976
"Gomphotherium_productum","extinct",13.6,15.97,977
"Gomphotherium_productum","extinct",13.6,15.97,978
"Gomphotherium_productum","extinct",13.6,15.97,979
"Gomphotherium_productum","extinct",13.6,15.97,980
"Gomphotherium_productum","extinct",13.6,15.97,981
"Gomphotherium_productum","extinct",13.82,15.97,982
"Gomphotherium_productum","extinct",13.6,15.97,983
"Gomphotherium_productum","extinct",13.6,15.97,984
"Gomphotherium_productum","extinct",13.6,15.97,985
"Gomphotherium_productum","extinct",13.6,15.97,986
"Gomphotherium_productum","extinct",13.6,15.97,987
"Gomphotherium_productum","extinct",13.6,15.97,988
"Gomphotherium_productum","extinct",13.6,15.97,989
"Gomphotherium_productum","extinct",13.6,15.97,990
"Gomphotherium_productum","extinct",13.6,15.97,991
"Gomphotherium_productum","extinct",13.6,15.97,992
"Gomphotherium_productum","extinct",13.6,15.97,993
"Gomphotherium_productum","extinct",11.63,13.82,994
"Gomphotherium_productum","extinct",11.63,13.82,995
"Gomphotherium_productum","extinct",10.3,12.4,996
"Gomphotherium_productum","extinct",10.3,12.4,997
"Gomphotherium_productum","extinct",10.3,12.4,998
"Gomphotherium_productum","extinct",10.3,12.4,999
"Gomphotherium_productum","extinct",10.3,12.4,1000
"Gomphotherium_productum","extinct",10.3,12.4,1001
"Gomphotherium_productum","extinct",10.3,12.4,1002
"Gomphotherium_productum","extinct",10.3,12.4,1003
"Gomphotherium_productum","extinct",9,9.5,1004
"Konobelodon_britti","extinct",7.6,9,1022
"Konobelodon_britti","extinct",6.8,7.6,1023
"Konobelodon_britti","extinct",6.8,7.6,1024
"Konobelodon_britti","extinct",5.9,6.8,1025
"Konobelodon_britti","extinct",5.9,6.8,1026
"Megabelodon_joraki","extinct",12.5,14.8,1035
"Megabelodon_lulli","extinct",12.1,12.5,888
"Megabelodon_minor","extinct",10.1,12.1,1036
"Pediolophodon_campester","extinct",9,12.1,1048
"Pediolophodon_campester","extinct",10.1,12.1,1049
"Pediolophodon_campester","extinct",10.1,12.1,1050
"Rhynchotherium_falconeri","extinct",1.9,2.5,1079
"Rhynchotherium_falconeri","extinct",1.9,2.5,1080
