"taxon_names","status","min.age","max.age","site"
"Eozygodon_morotoensis","extinct",20.5,23.8,1169
"Eozygodon_morotoensis","extinct",20.6,21,273
"Eozygodon_morotoensis","extinct",17,18,284
"Eozygodon_morotoensis","extinct",17,18,286
"Eozygodon_morotoensis","extinct",17.2,17.2,308
"Eozygodon_morotoensis","extinct",19,20,330
"Losodokodon_losodokius","extinct",24.2,27.5,1170
"Losodokodon_losodokius","extinct",24.2,27.5,1171
"Mammut_borsoni","extinct",2.6,5.33,797
"Mammut_borsoni","extinct",1.95,2.6,1489
"Mammut_obliquelophus","extinct",5.3,7.1,1492
"Zygolophodon_aegyptensis","extinct",17,18,714
