"taxon_names","status","min.age","max.age","site"
"Mammut_borsoni","extinct",2.6,5.33,724
"Mammut_borsoni","extinct",3.5,5.33,1467
"Mammut_borsoni","extinct",3.4,5.3,1468
"Mammut_borsoni","extinct",3.6,4.9,802
"Mammut_borsoni","extinct",1.95,2.6,1469
"Mammut_borsoni","extinct",5.3,9,1470
"Mammut_borsoni","extinct",7.1,8.2,203
"Mammut_borsoni","extinct",7.1,8.2,89
"Mammut_borsoni","extinct",7.1,8.2,1471
"Mammut_borsoni","extinct",7.1,8.2,1472
"Mammut_borsoni","extinct",7.1,8.2,1473
"Mammut_borsoni","extinct",5.3,7.1,92
"Mammut_borsoni","extinct",5.4,7.1,93
"Mammut_borsoni","extinct",5.3,7.1,729
"Mammut_borsoni","extinct",2.6,5.33,1474
"Mammut_borsoni","extinct",2.6,5.33,730
"Mammut_borsoni","extinct",4.42,5.33,1475
"Mammut_borsoni","extinct",4.42,5.33,1476
"Mammut_borsoni","extinct",4.42,5.33,1477
"Mammut_borsoni","extinct",2.6,5.33,1478
"Mammut_borsoni","extinct",2.6,5.33,1479
"Mammut_borsoni","extinct",2.6,5.33,1480
"Mammut_borsoni","extinct",4.42,5.33,1481
"Mammut_borsoni","extinct",3.5,5.33,1482
"Mammut_borsoni","extinct",4.42,5.33,1483
"Mammut_borsoni","extinct",2.6,5.33,731
"Mammut_borsoni","extinct",2.6,5.33,1484
"Mammut_borsoni","extinct",4.42,5.33,1485
"Mammut_borsoni","extinct",2.6,5.33,1486
"Mammut_borsoni","extinct",4.42,5.33,1487
"Mammut_borsoni","extinct",4.2,5.3,732
"Mammut_borsoni","extinct",3.4,4.2,736
"Mammut_borsoni","extinct",3.4,4.2,737
"Mammut_borsoni","extinct",3.4,4.2,741
"Mammut_borsoni","extinct",2.6,3.5,1488
"Mammut_borsoni","extinct",2.6,3.4,747
"Mammut_borsoni","extinct",2.6,3.4,748
"Mammut_borsoni","extinct",2.6,3.4,749
"Mammut_borsoni","extinct",2.6,3.4,750
"Mammut_borsoni","extinct",2.6,3.4,752
"Mammut_borsoni","extinct",1.95,3.4,754
"Mammut_borsoni","extinct",1.95,3.4,755
"Mammut_borsoni","extinct",2.6,3.5,1490
"Mammut_borsoni","extinct",2.6,3.4,764
"Mammut_borsoni","extinct",1.95,3.4,765
"Mammut_borsoni","extinct",3.4,4.2,774
