"taxon_names","status","min.age","max.age","site"
"Stegodon kaisensis","extinct",5.3,7.1,585
"Stegodon kaisensis","extinct",5.3,7.1,1608
"Stegodon kaisensis","extinct",6,7,793
"Stegodon kaisensis","extinct",3.6,5.33,17
"Stegodon kaisensis","extinct",2.91,3.44,44
"Stegodon kaisensis","extinct",4.2,5.3,812
"Stegodon kaisensis","extinct",4.2,5.3,688
"Stegodon kaisensis","extinct",4.2,5.3,588
"Stegodon kaisensis","extinct",4.2,5.3,589
"Stegodon kaisensis","extinct",3,3.5,1609
"Stegodon aurorae","extinct",0.781,2.58,1585
"Stegodon aurorae","extinct",0.781,2.58,1586
"Stegodon aurorae","extinct",0.781,2.58,1587
"Stegodon aurorae","extinct",0.781,2.58,1588
"Stegodon aurorae","extinct",0.781,2.58,1589
"Stegodon aurorae","extinct",0.781,2.58,1590
"Stegodon bombifrons","extinct",1.95,3.6,373
"Stegodon bombifrons","extinct",2.6,3.56,678
"Stegodon elephantoides","extinct",2.6,5.33,1591
"Stegodon elephantoides","extinct",1.5,3.4,1592
"Stegodon florensis","extinct",0.126,0.781,1593
"Stegodon florensis","extinct",0.126,0.781,1594
"Stegodon florensis","extinct",0.126,0.781,1595
"Stegodon florensis","extinct",0.126,0.781,1596
"Stegodon florensis","extinct",0.126,0.781,1597
"Stegodon ganesa","extinct",1.81,2.59,1598
"Stegodon ganesa","extinct",0.117,0.126,364
"Stegodon huananensis","extinct",2.6,3.4,1599
"Stegodon huananensis","extinct",2.6,3.4,1600
"Stegodon huananensis","extinct",2.6,3.4,1601
"Stegodon huananensis","extinct",2.6,3.4,1602
"Stegodon huananensis","extinct",2.14,2.15,1603
"Stegodon huananensis","extinct",1,1.21,1604
"Stegodon huananensis","extinct",1.2,1.21,1605
"Stegodon huananensis","extinct",1.2,1.2,1606
"Stegodon insignis","extinct",1,2,355
"Stegodon insignis","extinct",2.6,3.56,678
"Stegodon insignis","extinct",2.5,3.5,375
"Stegodon insignis","extinct",0.63,2,362
"Stegodon insignis","extinct",0.0117,0.126,1607
"Stegodon luzonensis","extinct",0.117,2.588,1610
"Stegodon mindanensis","extinct",0.117,2.588,1611
"Stegodon namadicus","extinct",0.048,0.236,1612
"Stegodon orientalis","extinct",1.2,1.8,1613
"Stegodon orientalis","extinct",1.2,1.8,1614
"Stegodon orientalis","extinct",1.2,1.8,1615
"Stegodon orientalis","extinct",1.2,1.8,1616
"Stegodon orientalis","extinct",1.2,1.8,1617
"Stegodon orientalis","extinct",1.2,1.8,1618
"Stegodon orientalis","extinct",1.2,1.8,1619
"Stegodon orientalis","extinct",1.2,1.8,1620
"Stegodon orientalis","extinct",0.6,1.3,1119
"Stegodon orientalis","extinct",0.6,1.3,1119
"Stegodon orientalis","extinct",0.6,1.3,1621
"Stegodon orientalis","extinct",0.6,1.3,1622
"Stegodon orientalis","extinct",0.6,1.3,1623
"Stegodon orientalis","extinct",0.6,1.3,1624
"Stegodon orientalis","extinct",0.6,1.3,368
"Stegodon orientalis","extinct",0.6,1.3,1625
"Stegodon orientalis","extinct",0.012,0.7,654
"Stegodon orientalis","extinct",0.012,0.7,1626
"Stegodon orientalis","extinct",2.6,3.4,1627
"Stegodon orientalis","extinct",1.2,1.8,655
"Stegodon orientalis","extinct",0.6,1.3,1628
"Stegodon orientalis","extinct",0.6,1.3,656
"Stegodon orientalis","extinct",0.6,1.3,1629
"Stegodon orientalis","extinct",0.6,1.3,657
"Stegodon orientalis","extinct",0.35,0.6,658
"Stegodon pinjorensis","extinct",0.63,2,362
"Stegodon sompoensis","extinct",2.588,3.6,1630
"Stegodon sompoensis","extinct",2.588,3.6,1631
"Stegodon sompoensis","extinct",2.588,3.6,1632
"Stegodon sompoensis","extinct",2.588,3.6,690
"Stegodon sompoensis","extinct",2.588,3.6,692
"Stegodon sompoensis","extinct",2.588,3.6,1633
"Stegodon sompoensis","extinct",2.588,3.6,693
"Stegodon sompoensis","extinct",2.588,3.6,1634
"Stegodon sompoensis","extinct",2.588,3.6,697
