"taxon_names","status","min.age","max.age","site"
"Stegodon_aurorae","extinct",0.781,2.58,1544
"Stegodon_aurorae","extinct",0.781,2.58,1545
"Stegodon_aurorae","extinct",0.781,2.58,1546
"Stegodon_aurorae","extinct",0.781,2.58,1547
"Stegodon_aurorae","extinct",0.781,2.58,1548
"Stegodon_aurorae","extinct",0.781,2.58,1549
"Stegodon_bombifrons","extinct",1.95,3.6,373
"Stegodon_bombifrons","extinct",2.6,3.56,671
"Stegodon_elephantoides","extinct",2.6,5.33,1550
"Stegodon_elephantoides","extinct",1.5,3.4,1551
"Stegodon_florensis","extinct",0.126,0.781,1552
"Stegodon_florensis","extinct",0.126,0.781,1553
"Stegodon_florensis","extinct",0.126,0.781,1554
"Stegodon_florensis","extinct",0.126,0.781,1555
"Stegodon_florensis","extinct",0.126,0.781,1556
"Stegodon_ganesa","extinct",1.81,2.59,1557
"Stegodon_ganesa","extinct",0.117,0.126,364
"Stegodon_huananensis","extinct",2.6,3.4,1558
"Stegodon_huananensis","extinct",2.6,3.4,1559
"Stegodon_huananensis","extinct",2.6,3.4,1560
"Stegodon_huananensis","extinct",2.6,3.4,1561
"Stegodon_huananensis","extinct",2.14,2.15,1562
"Stegodon_huananensis","extinct",1,1.21,1563
"Stegodon_huananensis","extinct",1.2,1.21,1564
"Stegodon_huananensis","extinct",1.2,1.2,1565
"Stegodon_insignis","extinct",1,2,355
"Stegodon_insignis","extinct",2.6,3.56,671
"Stegodon_insignis","extinct",2.5,3.5,375
"Stegodon_insignis","extinct",0.63,2,362
"Stegodon_insignis","extinct",0.0117,0.126,1566
"Stegodon_luzonensis","extinct",0.117,2.588,1569
"Stegodon_mindanensis","extinct",0.117,2.588,1570
"Stegodon_namadicus","extinct",0.048,0.236,1571
"Stegodon_orientalis","extinct",1.2,1.8,1572
"Stegodon_orientalis","extinct",1.2,1.8,1573
"Stegodon_orientalis","extinct",1.2,1.8,1574
"Stegodon_orientalis","extinct",1.2,1.8,1575
"Stegodon_orientalis","extinct",1.2,1.8,1576
"Stegodon_orientalis","extinct",1.2,1.8,1577
"Stegodon_orientalis","extinct",1.2,1.8,1578
"Stegodon_orientalis","extinct",1.2,1.8,1579
"Stegodon_orientalis","extinct",0.6,1.3,1104
"Stegodon_orientalis","extinct",0.6,1.3,1104
"Stegodon_orientalis","extinct",0.6,1.3,1580
"Stegodon_orientalis","extinct",0.6,1.3,1581
"Stegodon_orientalis","extinct",0.6,1.3,1582
"Stegodon_orientalis","extinct",0.6,1.3,1583
"Stegodon_orientalis","extinct",0.6,1.3,368
"Stegodon_orientalis","extinct",0.6,1.3,1584
"Stegodon_orientalis","extinct",0.012,0.7,647
"Stegodon_orientalis","extinct",0.012,0.7,1585
"Stegodon_orientalis","extinct",2.6,3.4,1586
"Stegodon_orientalis","extinct",1.2,1.8,648
"Stegodon_orientalis","extinct",0.6,1.3,1587
"Stegodon_orientalis","extinct",0.6,1.3,649
"Stegodon_orientalis","extinct",0.6,1.3,1588
"Stegodon_orientalis","extinct",0.6,1.3,650
"Stegodon_orientalis","extinct",0.35,0.6,651
"Stegodon_pinjorensis","extinct",0.63,2,362
"Stegodon_sompoensis","extinct",2.588,3.6,1589
"Stegodon_sompoensis","extinct",2.588,3.6,1590
"Stegodon_sompoensis","extinct",2.588,3.6,1591
"Stegodon_sompoensis","extinct",2.588,3.6,683
"Stegodon_sompoensis","extinct",2.588,3.6,685
"Stegodon_sompoensis","extinct",2.588,3.6,1592
"Stegodon_sompoensis","extinct",2.588,3.6,686
"Stegodon_sompoensis","extinct",2.588,3.6,1593
"Stegodon_sompoensis","extinct",2.588,3.6,690
"Stegodon_sompoensis","extinct",0.781,2.588,1594
"Stegodon_sondaari","extinct",0.83,0.97,1595
"Stegodon_timorensis","extinct",0.13,0.168,1596
"Stegodon_trigonocephalus","extinct",1.5,2.588,693
