"species","region","minimum.age","maximum.age","family","Site"
"Stegodon kaisensis","Africa",5.3,7.1,"Stegodontidae",585
"Stegodon kaisensis","Africa",5.3,7.1,"Stegodontidae",1608
"Stegodon kaisensis","Africa",6,7,"Stegodontidae",793
"Stegodon kaisensis","Africa",3.6,5.33,"Stegodontidae",17
"Stegodon kaisensis","Africa",2.91,3.44,"Stegodontidae",44
"Stegodon kaisensis","Africa",4.2,5.3,"Stegodontidae",812
"Stegodon kaisensis","Africa",4.2,5.3,"Stegodontidae",688
"Stegodon kaisensis","Africa",4.2,5.3,"Stegodontidae",588
"Stegodon kaisensis","Africa",4.2,5.3,"Stegodontidae",589
"Stegodon kaisensis","Africa",3,3.5,"Stegodontidae",1609
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1585
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1586
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1587
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1588
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1589
"Stegodon aurorae","Eurasia",0.781,2.58,"Stegodontidae",1590
"Stegodon bombifrons","Eurasia",1.95,3.6,"Stegodontidae",373
"Stegodon bombifrons","Eurasia",2.6,3.56,"Stegodontidae",678
"Stegodon elephantoides","Eurasia",2.6,5.33,"Stegodontidae",1591
"Stegodon elephantoides","Eurasia",1.5,3.4,"Stegodontidae",1592
"Stegodon florensis","Eurasia",0.126,0.781,"Stegodontidae",1593
"Stegodon florensis","Eurasia",0.126,0.781,"Stegodontidae",1594
"Stegodon florensis","Eurasia",0.126,0.781,"Stegodontidae",1595
"Stegodon florensis","Eurasia",0.126,0.781,"Stegodontidae",1596
"Stegodon florensis","Eurasia",0.126,0.781,"Stegodontidae",1597
"Stegodon ganesa","Eurasia",1.81,2.59,"Stegodontidae",1598
"Stegodon ganesa","Eurasia",0.117,0.126,"Stegodontidae",364
"Stegodon huananensis","Eurasia",2.6,3.4,"Stegodontidae",1599
"Stegodon huananensis","Eurasia",2.6,3.4,"Stegodontidae",1600
"Stegodon huananensis","Eurasia",2.6,3.4,"Stegodontidae",1601
"Stegodon huananensis","Eurasia",2.6,3.4,"Stegodontidae",1602
"Stegodon huananensis","Eurasia",2.14,2.15,"Stegodontidae",1603
"Stegodon huananensis","Eurasia",1,1.21,"Stegodontidae",1604
"Stegodon huananensis","Eurasia",1.2,1.21,"Stegodontidae",1605
"Stegodon huananensis","Eurasia",1.2,1.2,"Stegodontidae",1606
"Stegodon insignis","Eurasia",1,2,"Stegodontidae",355
"Stegodon insignis","Eurasia",2.6,3.56,"Stegodontidae",678
"Stegodon insignis","Eurasia",2.5,3.5,"Stegodontidae",375
"Stegodon insignis","Eurasia",0.63,2,"Stegodontidae",362
"Stegodon insignis","Eurasia",0.0117,0.126,"Stegodontidae",1607
"Stegodon luzonensis","Eurasia",0.117,2.588,"Stegodontidae",1610
"Stegodon mindanensis","Eurasia",0.117,2.588,"Stegodontidae",1611
"Stegodon namadicus","Eurasia",0.048,0.236,"Stegodontidae",1612
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1613
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1614
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1615
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1616
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1617
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1618
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1619
"Stegodon orientalis","Eurasia",1.2,1.8,"Stegodontidae",1620
