"species","region","minimum.age","maximum.age","family","Site"
"Barytherium_grave","Africa","38","39","Barytheriidae",1
"Barytherium_grave","Africa","38","39","Barytheriidae",2
"Barytherium_grave","Africa","36.73","37.74","Barytheriidae",3
"Barytherium_grave","Africa","32","35.8","Barytheriidae",4
"Barytherium_grave","Africa","33.9","35","Barytheriidae",5
"Omanitherium_dhofarensis","Africa","28.4","33.9","Barytheriidae",6
"Chilgatherium_harrisi","Africa","27","28","Deinotheriidae",7
"Deinotherium_bozasi","Africa","9.7","9.9","Deinotheriidae",8
"Deinotherium_bozasi","Africa","9","9.5","Deinotheriidae",9
"Deinotherium_bozasi","Africa","6.54","7.44","Deinotheriidae",10
"Deinotherium_bozasi","Africa","5.3","6.54","Deinotheriidae",11
"Deinotherium_bozasi","Africa","5.7","5.7","Deinotheriidae",12
"Deinotherium_bozasi","Africa","5.7","5.7","Deinotheriidae",13
"Deinotherium_bozasi","Africa","5.2","5.6","Deinotheriidae",14
"Deinotherium_bozasi","Africa","5.54","5.6","Deinotheriidae",15
"Deinotherium_bozasi","Africa","5","5.5","Deinotheriidae",16
"Deinotherium_bozasi","Africa","3.6","5.33","Deinotheriidae",17
"Deinotherium_bozasi","Africa","3.6","5.33","Deinotheriidae",18
"Deinotherium_bozasi","Africa","2.6","5.33","Deinotheriidae",19
"Deinotherium_bozasi","Africa","2.6","5.33","Deinotheriidae",20
"Deinotherium_bozasi","Africa","2.6","5.33","Deinotheriidae",21
"Deinotherium_bozasi","Africa","2.6","5.33","Deinotheriidae",22
"Deinotherium_bozasi","Africa","2.6","5.33","Deinotheriidae",23
"Deinotherium_bozasi","Africa","4.2","5.3","Deinotheriidae",24
"Deinotherium_bozasi","Africa","5.2","5.2","Deinotheriidae",25
"Deinotherium_bozasi","Africa","5.2","5.2","Deinotheriidae",26
"Deinotherium_bozasi","Africa","3.94","4.35","Deinotheriidae",27
"Deinotherium_bozasi","Africa","3.6","4.2","Deinotheriidae",28
"Deinotherium_bozasi","Africa","3.6","4.2","Deinotheriidae",29
"Deinotherium_bozasi","Africa","3.4","4.2","Deinotheriidae",30
"Deinotherium_bozasi","Africa","4.07","4.17","Deinotheriidae",31
"Deinotherium_bozasi","Africa","3.4","3.94","Deinotheriidae",32
"Deinotherium_bozasi","Africa","3","3.9","Deinotheriidae",33
"Deinotherium_bozasi","Africa","3.4","3.6","Deinotheriidae",34
"Deinotherium_bozasi","Africa","3.4","3.6","Deinotheriidae",35
"Deinotherium_bozasi","Africa","3.4","3.6","Deinotheriidae",36
"Deinotherium_bozasi","Africa","3.44","3.6","Deinotheriidae",37
"Deinotherium_bozasi","Africa","2.6","3.56","Deinotheriidae",38
"Deinotherium_bozasi","Africa","2.6","3.56","Deinotheriidae",39
"Deinotherium_bozasi","Africa","2.6","3.56","Deinotheriidae",40
"Deinotherium_bozasi","Africa","3.2","3.446","Deinotheriidae",41
"Deinotherium_bozasi","Africa","2.91","3.44","Deinotheriidae",42
"Deinotherium_bozasi","Africa","2.91","3.44","Deinotheriidae",43
"Deinotherium_bozasi","Africa","2.91","3.44","Deinotheriidae",44
"Deinotherium_bozasi","Africa","2.64","3.4","Deinotheriidae",45
"Deinotherium_bozasi","Africa","2.64","3.4","Deinotheriidae",46
"Deinotherium_bozasi","Africa","2.52","3.4","Deinotheriidae",47
"Deinotherium_bozasi","Africa","2.6","3.4","Deinotheriidae",48
"Deinotherium_bozasi","Africa","2.64","3.4","Deinotheriidae",49
"Deinotherium_bozasi","Africa","3.18","3.22","Deinotheriidae",50
"Deinotherium_bozasi","Africa","2.53","2.91","Deinotheriidae",51
