"species","region","minimum.age","maximum.age","family","Site"
"Afrochoerodon_kisumuensis","Africa","19","19.16","Gomphotheriidae",276
"Afrochoerodon_kisumuensis","Africa","13.82","15.97","Gomphotheriidae",310
"Afrochoerodon_kisumuensis","Africa","13.82","15.97","Gomphotheriidae",311
"Afrochoerodon_kisumuensis","Africa","13.82","15.97","Gomphotheriidae",709
"Afrochoerodon_kisumuensis","Africa","13.82","15.97","Gomphotheriidae",710
"Afrochoerodon_kisumuensis","Africa","15.5","15.5","Gomphotheriidae",711
"Afrochoerodon_kisumuensis","Africa","14.7","15.2","Gomphotheriidae",712
"Afrochoerodon_kisumuensis","Africa","11.63","13.82","Gomphotheriidae",713
"Afrochoerodon_kisumuensis","Africa","17","18","Gomphotheriidae",714
"Afromastodon_coppensi","Africa","14.2","16.4","Gomphotheriidae",333
"Anancus_kenyensis","Africa","6.54","7.44","Gomphotheriidae",10
"Anancus_kenyensis","Africa","5.3","7.1","Gomphotheriidae",578
"Anancus_kenyensis","Africa","2.6","7.1","Gomphotheriidae",785
"Anancus_kenyensis","Africa","6","7","Gomphotheriidae",786
"Anancus_kenyensis","Africa","5.3","6.54","Gomphotheriidae",11
"Anancus_kenyensis","Africa","5.6","6.3","Gomphotheriidae",674
"Anancus_kenyensis","Africa","5.6","6.2","Gomphotheriidae",675
"Anancus_kenyensis","Africa","5.6","6.2","Gomphotheriidae",676
"Anancus_kenyensis","Africa","6.04","6.108","Gomphotheriidae",787
"Anancus_kenyensis","Africa","6","6.1","Gomphotheriidae",788
"Anancus_kenyensis","Africa","5.7","5.7","Gomphotheriidae",12
"Anancus_kenyensis","Africa","5.7","5.7","Gomphotheriidae",789
"Anancus_kenyensis","Africa","5.7","5.7","Gomphotheriidae",790
"Anancus_kenyensis","Africa","5.2","5.6","Gomphotheriidae",14
"Anancus_kenyensis","Africa","5","5.5","Gomphotheriidae",677
"Anancus_kenyensis","Africa","3.6","5.33","Gomphotheriidae",791
"Anancus_kenyensis","Africa","3.36","5.33","Gomphotheriidae",792
"Anancus_kenyensis","Africa","2.6","5.33","Gomphotheriidae",20
"Anancus_kenyensis","Africa","2.6","5.33","Gomphotheriidae",23
"Anancus_kenyensis","Africa","4.9","5.2","Gomphotheriidae",793
"Anancus_kenyensis","Africa","5.2","5.2","Gomphotheriidae",26
"Anancus_kenyensis","Africa","4.32","4.51","Gomphotheriidae",794
"Anancus_kenyensis","Africa","3.6","4.2","Gomphotheriidae",28
"Anancus_kenyensis","Africa","3.6","4.2","Gomphotheriidae",29
"Anancus_kenyensis","Africa","3.4","4.2","Gomphotheriidae",30
"Anancus_kenyensis","Africa","1.785","1.845","Gomphotheriidae",73
"Anancus_kenyensis","Africa","4.2","5.3","Gomphotheriidae",681
"Anancus_osiris","Africa","3.6","5.33","Gomphotheriidae",680
"Anancus_osiris","Africa","5.3","7.1","Gomphotheriidae",76
