"species","region","minimum.age","maximum.age","family","Site"
"Stegodon_kaisensis","Africa","5.3","7.1","Stegodontidae",578
"Stegodon_kaisensis","Africa","5.3","7.1","Stegodontidae",1567
"Stegodon_kaisensis","Africa","6","7","Stegodontidae",786
"Stegodon_kaisensis","Africa","3.6","5.33","Stegodontidae",17
"Stegodon_kaisensis","Africa","2.91","3.44","Stegodontidae",44
"Stegodon_kaisensis","Africa","4.2","5.3","Stegodontidae",805
"Stegodon_kaisensis","Africa","4.2","5.3","Stegodontidae",681
"Stegodon_kaisensis","Africa","4.2","5.3","Stegodontidae",581
"Stegodon_kaisensis","Africa","4.2","5.3","Stegodontidae",582
"Stegodon_kaisensis","Africa","3","3.5","Stegodontidae",1568
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1544
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1545
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1546
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1547
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1548
"Stegodon_aurorae","Eurasia","0.781","2.58","Stegodontidae",1549
"Stegodon_bombifrons","Eurasia","1.95","3.6","Stegodontidae",373
"Stegodon_bombifrons","Eurasia","2.6","3.56","Stegodontidae",671
"Stegodon_elephantoides","Eurasia","2.6","5.33","Stegodontidae",1550
"Stegodon_elephantoides","Eurasia","1.5","3.4","Stegodontidae",1551
"Stegodon_florensis","Eurasia","0.126","0.781","Stegodontidae",1552
"Stegodon_florensis","Eurasia","0.126","0.781","Stegodontidae",1553
"Stegodon_florensis","Eurasia","0.126","0.781","Stegodontidae",1554
"Stegodon_florensis","Eurasia","0.126","0.781","Stegodontidae",1555
"Stegodon_florensis","Eurasia","0.126","0.781","Stegodontidae",1556
"Stegodon_ganesa","Eurasia","1.81","2.59","Stegodontidae",1557
"Stegodon_ganesa","Eurasia","0.117","0.126","Stegodontidae",364
"Stegodon_huananensis","Eurasia","2.6","3.4","Stegodontidae",1558
"Stegodon_huananensis","Eurasia","2.6","3.4","Stegodontidae",1559
"Stegodon_huananensis","Eurasia","2.6","3.4","Stegodontidae",1560
