"species","region","minimum.age","maximum.age","family","Site"
"Stegodon_kaisensis","Africa",5.3,7.1,"Stegodontidae",578
"Stegodon_kaisensis","Africa",5.3,7.1,"Stegodontidae",1567
"Stegodon_kaisensis","Africa",6,7,"Stegodontidae",786
"Stegodon_kaisensis","Africa",3.6,5.33,"Stegodontidae",17
"Stegodon_kaisensis","Africa",2.91,3.44,"Stegodontidae",44
"Stegodon_kaisensis","Africa",4.2,5.3,"Stegodontidae",805
"Stegodon_kaisensis","Africa",4.2,5.3,"Stegodontidae",681
"Stegodon_kaisensis","Africa",4.2,5.3,"Stegodontidae",581
"Stegodon_kaisensis","Africa",4.2,5.3,"Stegodontidae",582
"Stegodon_kaisensis","Africa",3,3.5,"Stegodontidae",1568
