"species","region","minimum.age","maximum.age","family","Site"
"Deinotherium_giganteum","Eurasia",11.2,14.2,"Deinotheriidae",77
"Deinotherium_giganteum","Eurasia",11.5,13.6,"Deinotheriidae",78
"Deinotherium_giganteum","Eurasia",9.5,12.85,"Deinotheriidae",79
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",80
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",81
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",82
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",83
"Deinotherium_giganteum","Eurasia",9.5,10.35,"Deinotheriidae",84
"Deinotherium_giganteum","Eurasia",7.1,9.5,"Deinotheriidae",85
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",86
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",87
"Deinotherium_giganteum","Eurasia",7.1,9,"Deinotheriidae",88
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",89
"Deinotherium_giganteum","Eurasia",5.3,8.2,"Deinotheriidae",90
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",91
"Deinotherium_giganteum","Eurasia",5.3,7.1,"Deinotheriidae",92
"Deinotherium_giganteum","Eurasia",5.4,7.1,"Deinotheriidae",93
"Deinotherium_giganteum","Eurasia",7,7,"Deinotheriidae",94
"Deinotherium_giganteum","Eurasia",7.1,9,"Deinotheriidae",95
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",96
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",97
"Deinotherium_giganteum","Eurasia",7.4,7.9,"Deinotheriidae",98
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",99
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",100
"Deinotherium_giganteum","Eurasia",9.5,12.85,"Deinotheriidae",101
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",102
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",103
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",104
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",105
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",106
"Deinotherium_giganteum","Eurasia",11.434,11.852,"Deinotheriidae",107
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",108
"Deinotherium_giganteum","Eurasia",9,11.2,"Deinotheriidae",109
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",110
"Deinotherium_giganteum","Eurasia",9.5,11.2,"Deinotheriidae",111
"Deinotherium_giganteum","Eurasia",10.94,10.989,"Deinotheriidae",112
"Deinotherium_giganteum","Eurasia",9.491,9.592,"Deinotheriidae",113
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",114
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",115
"Deinotherium_giganteum","Eurasia",9.149,9.428,"Deinotheriidae",116
"Deinotherium_giganteum","Eurasia",8.2,9,"Deinotheriidae",117
"Deinotherium_giganteum","Eurasia",8.2,9,"Deinotheriidae",118
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",119
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",120
"Deinotherium_giganteum","Eurasia",7.1,9.88,"Deinotheriidae",121
"Deinotherium_giganteum","Eurasia",8.538,9.55,"Deinotheriidae",122
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",123
"Deinotherium_giganteum","Eurasia",9,9.5,"Deinotheriidae",124
"Deinotherium_giganteum","Eurasia",9.069,9.149,"Deinotheriidae",125
"Deinotherium_giganteum","Eurasia",8.529,8.861,"Deinotheriidae",126
"Deinotherium_giganteum","Eurasia",7.1,8.2,"Deinotheriidae",127
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",128
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",129
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",130
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",131
"Deinotherium_giganteum","Eurasia",12.85,14.2,"Deinotheriidae",132
"Deinotherium_giganteum","Eurasia",11.5,13.6,"Deinotheriidae",133
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",134
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",135
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",136
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",137
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",138
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",139
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",140
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",141
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",142
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",143
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",144
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",145
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",146
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",147
"Deinotherium_giganteum","Eurasia",9.5,12.85,"Deinotheriidae",148
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",149
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",150
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",151
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",152
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",153
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",154
"Deinotherium_giganteum","Eurasia",11.2,12.85,"Deinotheriidae",155
"Deinotherium_giganteum","Eurasia",8.2,12.85,"Deinotheriidae",156
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",157
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",158
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",159
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",160
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",161
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",162
"Deinotherium_giganteum","Eurasia",7.1,11.5,"Deinotheriidae",163
