"species","region","minimum.age","maximum.age","family","Site"
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",354
"Elephas_hysudricus","Eurasia",1,2,"Elephantidae",355
"Elephas_hysudricus","Eurasia",0.0117,2.588,"Elephantidae",356
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",357
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",358
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",359
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",360
"Elephas_hysudricus","Eurasia",0.117,2.588,"Elephantidae",361
"Elephas_hysudricus","Eurasia",0.63,2,"Elephantidae",362
"Elephas_hysudricus","Eurasia",1,2,"Elephantidae",363
"Elephas_hysudricus","Eurasia",0.117,0.126,"Elephantidae",364
"Elephas_hysudrindicus","Eurasia",0.6,1.3,"Elephantidae",365
"Elephas_hysudrindicus","Eurasia",0,0.7,"Elephantidae",366
"Elephas_maximus","Eurasia",0.6,1.3,"Elephantidae",367
"Elephas_maximus","Eurasia",0.6,1.3,"Elephantidae",368
"Elephas_maximus","Eurasia",0.6,1.3,"Elephantidae",369
"Elephas_maximus","Eurasia",0.06,0.08,"Elephantidae",370
"Elephas_maximus","Eurasia",0,0.01,"Elephantidae",371
"Elephas_planifrons","Eurasia",2.275,4.2,"Elephantidae",372
"Elephas_planifrons","Eurasia",1.95,3.6,"Elephantidae",373
"Elephas_planifrons","Eurasia",1.95,3.6,"Elephantidae",374
"Elephas_planifrons","Eurasia",2.5,3.5,"Elephantidae",375
"Elephas_planifrons","Eurasia",0.63,2,"Elephantidae",362
"Elephas_planifrons","Eurasia",1,2,"Elephantidae",363
"Mammuthus_creticus","Eurasia",0.7,0.8,"Elephantidae",470
"Mammuthus_gromovi","Eurasia",2.433,2.917,"Elephantidae",473
"Mammuthus_gromovi","Eurasia",2.5,3.5,"Elephantidae",474
"Mammuthus_lamarmorai","Eurasia",0.14,0.29,"Elephantidae",475
"Mammuthus_lamarmorai","Eurasia",0.029,0.191,"Elephantidae",476
"Mammuthus_lamarmorai","Eurasia",0.13,0.191,"Elephantidae",477
"Mammuthus_lamarmorai","Eurasia",0.1,0.126,"Elephantidae",478
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",479
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",480
"Mammuthus_meridionalis","Eurasia",2.192,2.433,"Elephantidae",481
"Mammuthus_meridionalis","Eurasia",1.95,2.433,"Elephantidae",482
"Mammuthus_meridionalis","Eurasia",1.95,2.275,"Elephantidae",483
"Mammuthus_meridionalis","Eurasia",2.6,3.5,"Elephantidae",484
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",485
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",486
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",487
"Mammuthus_meridionalis","Eurasia",1.806,2.588,"Elephantidae",488
"Mammuthus_meridionalis","Eurasia",2.3,2.4,"Elephantidae",489
"Mammuthus_meridionalis","Eurasia",1.6,2,"Elephantidae",490
"Mammuthus_meridionalis","Eurasia",1.4,1.583,"Elephantidae",491
"Mammuthus_meridionalis","Eurasia",0.9,1.22,"Elephantidae",492
"Mammuthus_meridionalis","Eurasia",0.9,1.22,"Elephantidae",493
"Mammuthus_meridionalis","Eurasia",0.427,0.621,"Elephantidae",494
"Mammuthus_meridionalis","Eurasia",1.95,2.675,"Elephantidae",501
"Mammuthus_meridionalis","Eurasia",1.98,2.6,"Elephantidae",502
"Mammuthus_meridionalis","Eurasia",2.1,2.6,"Elephantidae",503
"Mammuthus_meridionalis","Eurasia",2.32,2.6,"Elephantidae",504
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",505
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",506
"Mammuthus_meridionalis","Eurasia",1.98,2.6,"Elephantidae",507
"Mammuthus_meridionalis","Eurasia",1.98,2.6,"Elephantidae",508
"Mammuthus_meridionalis","Eurasia",2.09,2.21,"Elephantidae",509
"Mammuthus_meridionalis","Eurasia",1.98,2.14,"Elephantidae",510
"Mammuthus_meridionalis","Eurasia",1.98,2.14,"Elephantidae",511
"Mammuthus_meridionalis","Eurasia",1.6,2,"Elephantidae",512
"Mammuthus_meridionalis","Eurasia",1.7,2,"Elephantidae",513
"Mammuthus_meridionalis","Eurasia",0.3,1.9,"Elephantidae",514
"Mammuthus_meridionalis","Eurasia",0.781,1.9,"Elephantidae",515
"Mammuthus_meridionalis","Eurasia",0.9,1.9,"Elephantidae",516
"Mammuthus_meridionalis","Eurasia",1.68,1.86,"Elephantidae",517
"Mammuthus_meridionalis","Eurasia",1.68,1.86,"Elephantidae",518
"Mammuthus_meridionalis","Eurasia",1.6,1.8,"Elephantidae",519
"Mammuthus_meridionalis","Eurasia",1.6,1.8,"Elephantidae",520
"Mammuthus_meridionalis","Eurasia",1.75,1.8,"Elephantidae",521
"Mammuthus_meridionalis","Eurasia",1.3,1.7,"Elephantidae",522
"Mammuthus_meridionalis","Eurasia",1.1,1.3,"Elephantidae",523
"Mammuthus_meridionalis","Eurasia",0.988,1.07,"Elephantidae",524
"Mammuthus_meridionalis","Eurasia",1.806,2.588,"Elephantidae",525
"Mammuthus_meridionalis","Eurasia",1.9,2.5,"Elephantidae",526
"Mammuthus_meridionalis","Eurasia",1.54,2.32,"Elephantidae",527
"Mammuthus_meridionalis","Eurasia",1.37,2.11,"Elephantidae",528
"Mammuthus_meridionalis","Eurasia",1.19,1.567,"Elephantidae",529
"Mammuthus_meridionalis","Eurasia",1.1,1.3,"Elephantidae",530
"Mammuthus_meridionalis","Eurasia",1.95,2.675,"Elephantidae",531
"Mammuthus_meridionalis","Eurasia",1.95,2.675,"Elephantidae",532
"Mammuthus_meridionalis","Eurasia",1.95,2.675,"Elephantidae",533
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",534
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",535
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",536
"Mammuthus_meridionalis","Eurasia",1.95,2.6,"Elephantidae",537
"Mammuthus_meridionalis","Eurasia",2,2,"Elephantidae",538
"Mammuthus_meridionalis","Eurasia",0.5,1,"Elephantidae",539
"Mammuthus_primigenius","Eurasia",0.117,0.781,"Elephantidae",540
"Mammuthus_primigenius","Eurasia",0.126,0.781,"Elephantidae",541
"Mammuthus_primigenius","Eurasia",0.126,0.781,"Elephantidae",542
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",543
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",544
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",545
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",546
"Mammuthus_primigenius","Eurasia",0.004,0.009,"Elephantidae",547
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",568
"Mammuthus_primigenius","Eurasia",0.01,0.126,"Elephantidae",569
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",570
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",571
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",572
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",573
"Mammuthus_primigenius","Eurasia",0.012,0.126,"Elephantidae",574
"Mammuthus_protomammonteus","Eurasia",0.5,1,"Elephantidae",575
"Mammuthus_rumanus","Eurasia",2.6,3.4,"Elephantidae",576
"Mammuthus_rumanus","Eurasia",2.6,3.4,"Elephantidae",577
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",584
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",585
"Mammuthus_trogontherii","Eurasia",0.761,0.79,"Elephantidae",586
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",587
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",588
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",589
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",590
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",591
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",592
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",593
"Mammuthus_trogontherii","Eurasia",0.621,0.761,"Elephantidae",594
"Mammuthus_trogontherii","Eurasia",0.435,0.781,"Elephantidae",595
"Mammuthus_trogontherii","Eurasia",0.424,0.774,"Elephantidae",596
"Mammuthus_trogontherii","Eurasia",0.424,0.774,"Elephantidae",597
"Mammuthus_trogontherii","Eurasia",0.424,0.774,"Elephantidae",598
"Mammuthus_trogontherii","Eurasia",0.781,1.03,"Elephantidae",599
"Mammuthus_trogontherii","Eurasia",0.6,0.781,"Elephantidae",600
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",601
"Mammuthus_trogontherii","Eurasia",0.117,0.781,"Elephantidae",602
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",603
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",604
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",605
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",606
"Mammuthus_trogontherii","Eurasia",0.126,0.781,"Elephantidae",607
"Mammuthus_trogontherii","Eurasia",0.424,0.781,"Elephantidae",608
"Mammuthus_trogontherii","Eurasia",0.676,0.781,"Elephantidae",609
"Mammuthus_trogontherii","Eurasia",0.676,0.781,"Elephantidae",610
"Mammuthus_trogontherii","Eurasia",0.46,0.46,"Elephantidae",611
"Palaeoloxodon_antiquus","Eurasia",0.424,0.774,"Elephantidae",597
"Palaeoloxodon_antiquus","Eurasia",0.1,0.126,"Elephantidae",612
"Palaeoloxodon_antiquus","Eurasia",0.1,0.126,"Elephantidae",613
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",614
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",615
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",616
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",617
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",618
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",619
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",620
"Palaeoloxodon_antiquus","Eurasia",0.6,0.781,"Elephantidae",621
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",622
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",623
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",624
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",625
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",626
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",627
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",628
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",629
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",630
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",631
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",632
"Palaeoloxodon_antiquus","Eurasia",0.039,0.1,"Elephantidae",633
"Palaeoloxodon_antiquus","Eurasia",0.126,0.781,"Elephantidae",634
"Palaeoloxodon_antiquus","Eurasia",0.424,0.781,"Elephantidae",608
"Palaeoloxodon_antiquus","Eurasia",0.397,0.662,"Elephantidae",635
"Palaeoloxodon_creutzburgi","Eurasia",0.012,0.126,"Elephantidae",636
"Palaeoloxodon_cypriotes","Eurasia",0.126,0.781,"Elephantidae",637
"Palaeoloxodon_falconeri","Eurasia",0.781,1.8,"Elephantidae",638
"Palaeoloxodon_falconeri","Eurasia",0.781,1.8,"Elephantidae",639
"Palaeoloxodon_falconeri","Eurasia",0.781,1.8,"Elephantidae",640
"Palaeoloxodon_falconeri","Eurasia",0.781,1.8,"Elephantidae",640
"Palaeoloxodon_lomolinoi","Eurasia",0.012,0.126,"Elephantidae",643
"Palaeoloxodon_mnaidriensis","Eurasia",0.13,0.43,"Elephantidae",644
"Palaeoloxodon_mnaidriensis","Eurasia",0.13,0.43,"Elephantidae",645
"Palaeoloxodon_namadicus","Eurasia",0.6,1.3,"Elephantidae",646
"Palaeoloxodon_namadicus","Eurasia",0.012,0.7,"Elephantidae",647
"Palaeoloxodon_namadicus","Eurasia",1.2,1.8,"Elephantidae",648
"Palaeoloxodon_namadicus","Eurasia",0.6,1.3,"Elephantidae",649
"Palaeoloxodon_namadicus","Eurasia",0.6,1.3,"Elephantidae",650
"Palaeoloxodon_namadicus","Eurasia",0.35,0.6,"Elephantidae",651
