"species","region","minimum.age","maximum.age","family","Site"
"Anancus_arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",724
"Anancus_arvernensis","Eurasia",3.5,4.87,"Gomphotheriidae",725
"Anancus_arvernensis","Eurasia",2.6,4.42,"Gomphotheriidae",726
"Anancus_arvernensis","Eurasia",2.433,2.917,"Gomphotheriidae",727
"Anancus_arvernensis","Eurasia",2.433,2.917,"Gomphotheriidae",728
"Anancus_arvernensis","Eurasia",2.192,2.433,"Gomphotheriidae",481
"Anancus_arvernensis","Eurasia",5.3,7.1,"Gomphotheriidae",729
"Anancus_arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",730
"Anancus_arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",731
"Anancus_arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",732
"Anancus_arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",733
"Anancus_arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",734
"Anancus_arvernensis","Eurasia",3.5,4.42,"Gomphotheriidae",735
"Anancus_arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",736
"Anancus_arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",737
"Anancus_arvernensis","Eurasia",2.275,4.2,"Gomphotheriidae",738
"Anancus_arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",739
"Anancus_arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",740
"Anancus_arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",741
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",742
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",484
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",743
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",744
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",745
"Anancus_arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",746
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",747
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",748
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",749
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",750
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",751
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",752
"Anancus_arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",753
"Anancus_arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",754
"Anancus_arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",755
"Anancus_arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",756
