"species","region","minimum.age","maximum.age","family","Site"
"Amebelodon_floridanus","NorthAmerica",7.6,9,"Gomphotheriidae",715
"Amebelodon_floridanus","NorthAmerica",7.6,9,"Gomphotheriidae",716
"Amebelodon_floridanus","NorthAmerica",6.8,9,"Gomphotheriidae",717
"Amebelodon_floridanus","NorthAmerica",6.8,7.6,"Gomphotheriidae",718
"Amebelodon_floridanus","NorthAmerica",4.9,5.9,"Gomphotheriidae",719
"Amebelodon_fricki","NorthAmerica",7.6,9,"Gomphotheriidae",720
"Amebelodon_fricki","NorthAmerica",7.6,9,"Gomphotheriidae",721
"Amebelodon_fricki","NorthAmerica",6.8,7.6,"Gomphotheriidae",722
"Amebelodon_fricki","NorthAmerica",6.8,7.6,"Gomphotheriidae",718
"Amebelodon_fricki","NorthAmerica",6.8,7.6,"Gomphotheriidae",723
"Cuvieronius_hyodon","NorthAmerica",1.9,2.5,"Gomphotheriidae",877
"Cuvieronius_hyodon","NorthAmerica",1.9,2.5,"Gomphotheriidae",878
"Cuvieronius_hyodon","NorthAmerica",1.9,2.5,"Gomphotheriidae",879
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",880
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",881
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",882
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",883
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",884
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",500
"Cuvieronius_hyodon","NorthAmerica",0.85,1.9,"Gomphotheriidae",885
"Eubelodon_morrilli","NorthAmerica",12.5,14.8,"Gomphotheriidae",886
"Eubelodon_morrilli","NorthAmerica",12.5,14.8,"Gomphotheriidae",887
"Eubelodon_morrilli","NorthAmerica",12.1,12.5,"Gomphotheriidae",888
"Eubelodon_morrilli","NorthAmerica",10.1,12.1,"Gomphotheriidae",889
"Gnathabelodon_buckneri","NorthAmerica",10.1,12.1,"Gomphotheriidae",890
"Gnathabelodon_thorpei","NorthAmerica",7.6,9,"Gomphotheriidae",715
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",976
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",977
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",978
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",979
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",980
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",981
"Gomphotherium_productum","NorthAmerica",13.82,15.97,"Gomphotheriidae",982
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",983
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",984
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",985
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",986
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",987
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",988
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",989
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",990
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",991
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",992
"Gomphotherium_productum","NorthAmerica",13.6,15.97,"Gomphotheriidae",993
"Gomphotherium_productum","NorthAmerica",11.63,13.82,"Gomphotheriidae",994
"Gomphotherium_productum","NorthAmerica",11.63,13.82,"Gomphotheriidae",995
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",996
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",997
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",998
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",999
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",1000
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",1001
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",1002
"Gomphotherium_productum","NorthAmerica",10.3,12.4,"Gomphotheriidae",1003
"Gomphotherium_productum","NorthAmerica",9,9.5,"Gomphotheriidae",1004
"Konobelodon_britti","NorthAmerica",7.6,9,"Gomphotheriidae",1022
"Konobelodon_britti","NorthAmerica",6.8,7.6,"Gomphotheriidae",1023
"Konobelodon_britti","NorthAmerica",6.8,7.6,"Gomphotheriidae",1024
"Konobelodon_britti","NorthAmerica",5.9,6.8,"Gomphotheriidae",1025
"Konobelodon_britti","NorthAmerica",5.9,6.8,"Gomphotheriidae",1026
"Megabelodon_joraki","NorthAmerica",12.5,14.8,"Gomphotheriidae",1035
"Megabelodon_lulli","NorthAmerica",12.1,12.5,"Gomphotheriidae",888
"Megabelodon_minor","NorthAmerica",10.1,12.1,"Gomphotheriidae",1036
"Pediolophodon_campester","NorthAmerica",9,12.1,"Gomphotheriidae",1048
"Pediolophodon_campester","NorthAmerica",10.1,12.1,"Gomphotheriidae",1049
"Pediolophodon_campester","NorthAmerica",10.1,12.1,"Gomphotheriidae",1050
"Rhynchotherium_falconeri","NorthAmerica",1.9,2.5,"Gomphotheriidae",1079
"Rhynchotherium_falconeri","NorthAmerica",1.9,2.5,"Gomphotheriidae",1080
"Rhynchotherium_tlascalae","NorthAmerica",4.9,5.9,"Gomphotheriidae",1081
"Rhynchotherium_tlascalae","NorthAmerica",4.9,5.9,"Gomphotheriidae",719
"Rhynchotherium_tlascalae","NorthAmerica",4.9,5.9,"Gomphotheriidae",1082
"Rhynchotherium_tlascalae","NorthAmerica",1.9,2.5,"Gomphotheriidae",1083
"Serbelodon_barbourensis","NorthAmerica",10.3,12.4,"Gomphotheriidae",1084
"Serbelodon_burnhami","NorthAmerica",10.3,12.4,"Gomphotheriidae",1085
"Serbelodon_burnhami","NorthAmerica",10.3,12.4,"Gomphotheriidae",1086
"Serbelodon_burnhami","NorthAmerica",10.3,12.4,"Gomphotheriidae",1087
"Serbelodon_burnhami","NorthAmerica",10.3,12.4,"Gomphotheriidae",1088
"Stegomastodon_aftoniae","NorthAmerica",0.781,2.588,"Gomphotheriidae",1105
"Stegomastodon_aftoniae","NorthAmerica",0.3,1.8,"Gomphotheriidae",1106
"Stegomastodon_aftoniae","NorthAmerica",0.3,1.8,"Gomphotheriidae",1107
"Stegomastodon_aftoniae","NorthAmerica",0.3,1.8,"Gomphotheriidae",1108
"Stegomastodon_aftoniae","NorthAmerica",0.3,1.8,"Gomphotheriidae",1109
"Stegomastodon_aftoniae","NorthAmerica",0.126,0.781,"Gomphotheriidae",419
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1110
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1111
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1112
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1113
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1114
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1115
"Stegomastodon_mirificus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1116
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1117
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1118
"Stegomastodon_mirificus","NorthAmerica",0.85,2.5,"Gomphotheriidae",1119
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1120
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1121
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1122
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1123
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1124
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1125
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1126
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1127
"Stegomastodon_mirificus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1128
"Stegomastodon_mirificus","NorthAmerica",0.85,1.9,"Gomphotheriidae",885
"Stegomastodon_primitivus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1129
"Stegomastodon_primitivus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1112
"Stegomastodon_primitivus","NorthAmerica",2.5,4.9,"Gomphotheriidae",1130
"Stegomastodon_primitivus","NorthAmerica",1.9,2.5,"Gomphotheriidae",1131
"Torynobelodon_barnumbrowni","NorthAmerica",10.3,12.4,"Gomphotheriidae",1161
"Torynobelodon_loomisi","NorthAmerica",4.9,9,"Gomphotheriidae",1162
"Torynobelodon_loomisi","NorthAmerica",6.8,7.6,"Gomphotheriidae",1163
"Torynobelodon_loomisi","NorthAmerica",6.8,7.6,"Gomphotheriidae",1164
