"species","region","minimum.age","maximum.age","family","Site"
"Eozygodon_morotoensis","Africa",20.5,23.8,"Mammutidae",1169
"Eozygodon_morotoensis","Africa",20.6,21,"Mammutidae",273
"Eozygodon_morotoensis","Africa",17,18,"Mammutidae",284
"Eozygodon_morotoensis","Africa",17,18,"Mammutidae",286
"Eozygodon_morotoensis","Africa",17.2,17.2,"Mammutidae",308
"Eozygodon_morotoensis","Africa",19,20,"Mammutidae",330
"Losodokodon_losodokius","Africa",24.2,27.5,"Mammutidae",1170
"Losodokodon_losodokius","Africa",24.2,27.5,"Mammutidae",1171
"Mammut_borsoni","Africa",2.6,5.33,"Mammutidae",797
"Mammut_borsoni","Africa",1.95,2.6,"Mammutidae",1489
"Mammut_obliquelophus","Africa",5.3,7.1,"Mammutidae",1492
"Zygolophodon_aegyptensis","Africa",17,18,"Mammutidae",714
