"species","region","minimum.age","maximum.age","family","Site"
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",724
"Mammut_borsoni","Eurasia",3.5,5.33,"Mammutidae",1467
"Mammut_borsoni","Eurasia",3.4,5.3,"Mammutidae",1468
"Mammut_borsoni","Eurasia",3.6,4.9,"Mammutidae",802
"Mammut_borsoni","Eurasia",1.95,2.6,"Mammutidae",1469
"Mammut_borsoni","Eurasia",5.3,9,"Mammutidae",1470
"Mammut_borsoni","Eurasia",7.1,8.2,"Mammutidae",203
"Mammut_borsoni","Eurasia",7.1,8.2,"Mammutidae",89
"Mammut_borsoni","Eurasia",7.1,8.2,"Mammutidae",1471
"Mammut_borsoni","Eurasia",7.1,8.2,"Mammutidae",1472
"Mammut_borsoni","Eurasia",7.1,8.2,"Mammutidae",1473
"Mammut_borsoni","Eurasia",5.3,7.1,"Mammutidae",92
"Mammut_borsoni","Eurasia",5.4,7.1,"Mammutidae",93
"Mammut_borsoni","Eurasia",5.3,7.1,"Mammutidae",729
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1474
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",730
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1475
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1476
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1477
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1478
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1479
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1480
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1481
"Mammut_borsoni","Eurasia",3.5,5.33,"Mammutidae",1482
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1483
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",731
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1484
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1485
"Mammut_borsoni","Eurasia",2.6,5.33,"Mammutidae",1486
"Mammut_borsoni","Eurasia",4.42,5.33,"Mammutidae",1487
"Mammut_borsoni","Eurasia",4.2,5.3,"Mammutidae",732
"Mammut_borsoni","Eurasia",3.4,4.2,"Mammutidae",736
"Mammut_borsoni","Eurasia",3.4,4.2,"Mammutidae",737
"Mammut_borsoni","Eurasia",3.4,4.2,"Mammutidae",741
"Mammut_borsoni","Eurasia",2.6,3.5,"Mammutidae",1488
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",747
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",748
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",749
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",750
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",752
"Mammut_borsoni","Eurasia",1.95,3.4,"Mammutidae",754
"Mammut_borsoni","Eurasia",1.95,3.4,"Mammutidae",755
"Mammut_borsoni","Eurasia",2.6,3.5,"Mammutidae",1490
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",764
"Mammut_borsoni","Eurasia",1.95,3.4,"Mammutidae",765
"Mammut_borsoni","Eurasia",3.4,4.2,"Mammutidae",774
"Mammut_borsoni","Eurasia",3.4,4.2,"Mammutidae",775
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",776
"Mammut_borsoni","Eurasia",2.6,3.4,"Mammutidae",777
"Mammut_obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1491
"Mammut_obliquelophus","Eurasia",6.9,7.2,"Mammutidae",208
"Mammut_obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1151
"Mammut_obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1493
"Mammut_obliquelophus","Eurasia",5.3,7.1,"Mammutidae",1152
"Miomastodon_gobiensis","Eurasia",15.6,18.45,"Mammutidae",974
"Miomastodon_gobiensis","Eurasia",12.5,15.2,"Mammutidae",1069
"Miomastodon_gobiensis","Eurasia",11.1,13.5,"Mammutidae",1014
"Miomastodon_gobiensis","Eurasia",11.2,12.85,"Mammutidae",1494
"Miomastodon_gobiensis","Eurasia",11.2,12.85,"Mammutidae",1065
"Miomastodon_gobiensis","Eurasia",11.2,12.5,"Mammutidae",1495
"Miomastodon_gobiensis","Eurasia",7.1,8.2,"Mammutidae",1043
"Miomastodon_metachinjiensis","Eurasia",16.4,17.2,"Mammutidae",337
"Miomastodon_proavus","Eurasia",10.65,11.2,"Mammutidae",1496
"Miomastodon_proavus","Eurasia",11.2,14.2,"Mammutidae",1500
"Sinomammut_tobieni","Eurasia",5.3,9,"Mammutidae",1501
"Zygolophodon_chinjiensis","Eurasia",11.2,12.5,"Mammutidae",1159
"Zygolophodon_turicensis","Eurasia",14.2,16.4,"Mammutidae",1502
"Zygolophodon_turicensis","Eurasia",10.1,11.2,"Mammutidae",1503
"Zygolophodon_turicensis","Eurasia",9.5,11.2,"Mammutidae",1504
"Zygolophodon_turicensis","Eurasia",12.85,14.2,"Mammutidae",1505
"Zygolophodon_turicensis","Eurasia",12.85,14.2,"Mammutidae",213
"Zygolophodon_turicensis","Eurasia",11.2,14.2,"Mammutidae",77
"Zygolophodon_turicensis","Eurasia",11.2,12.85,"Mammutidae",1506
"Zygolophodon_turicensis","Eurasia",9.5,11.2,"Mammutidae",1507
"Zygolophodon_turicensis","Eurasia",7.1,9,"Mammutidae",88
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",89
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",91
"Zygolophodon_turicensis","Eurasia",14.2,16.4,"Mammutidae",911
"Zygolophodon_turicensis","Eurasia",11.2,12.85,"Mammutidae",1508
"Zygolophodon_turicensis","Eurasia",11.2,12.85,"Mammutidae",105
"Zygolophodon_turicensis","Eurasia",8.2,9,"Mammutidae",841
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",119
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",796
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",1509
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",205
"Zygolophodon_turicensis","Eurasia",7.1,8.2,"Mammutidae",206
"Zygolophodon_turicensis","Eurasia",6.7,7.8,"Mammutidae",848
"Zygolophodon_turicensis","Eurasia",6.9,7.2,"Mammutidae",849
"Zygolophodon_turicensis","Eurasia",6.9,7.2,"Mammutidae",1510
"Zygolophodon_turicensis","Eurasia",16.4,17.2,"Mammutidae",218
"Zygolophodon_turicensis","Eurasia",15.2,18,"Mammutidae",1511
"Zygolophodon_turicensis","Eurasia",15.2,18,"Mammutidae",1512
"Zygolophodon_turicensis","Eurasia",16.4,17.2,"Mammutidae",225
"Zygolophodon_turicensis","Eurasia",16.4,17.2,"Mammutidae",1513
"Zygolophodon_turicensis","Eurasia",14.2,16.4,"Mammutidae",232
"Zygolophodon_turicensis","Eurasia",14.2,16.4,"Mammutidae",1514
"Zygolophodon_turicensis","Eurasia",14.2,16.4,"Mammutidae",236
